language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
pott1240,-,-,-,p,-,a,d,-,-,a,m,-
koya1251,-,-,-,-,-,a,d,u,g,u,-,-
telu1262,-,-,-,p,-,a,d,-,-,a,m,u
telu1262,-,-,-,-,-,a,d,u,g,u,-,-
nort2702,-,-,-,k,-,a,l,-,-,-,-,-
nort2699,-,-,d,Z,-,e,t,-,-,a,-,-
bada1257,-,a,n,g,-,a,l,-,-,3,-,-
kota1263,t,a,-,p,-,a,d,-,-,-,-,-
koda1255,-,a,n,g,-,a,l,-,-,-,-,-
ravu1237,-,-,-,k,-,a,l,-,-,3,-,-
nucl1305,-,-,-,p,-,a,d,-,-,a,-,-
nucl1305,-,-,-,-,-,a,d,-,-,i,-,-
mala1464,-,-,-,p,-,a,d,-,-,a,m,-
mala1464,-,-,-,-,-,a,t,-,-,i,-,-
tami1289,-,-,-,k,a,a,l,-,-,3,-,-
tami1289,-,-,-,p,-,a,d,-,-,a,m,-
tami1289,-,-,-,-,-,a,d,-,-,i,-,-
bett1235,-,-,-,k,-,a,l,-,-,3,-,-
tulu1258,-,-,-,k,-,a,l,-,-,3,-,-
toda1252,-,-,-,k,-,o,l,-,-,-,-,-
kuvi1243,-,-,-,p,-,a,d,-,-,a,m,i
kuru1302,k,-,-,h,-,e,d,-,-,-,-,-
saur1249,-,-,-,r,-,a,d,-,-,a,d,u
brah1256,-,-,-,n,-,a,t,-,-,-,-,-
