language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
pott1240,-,-,-,-,t,-,-,u,n,d,e,-
duru1236,-,-,-,-,-,-,-,-,-,-,e,v
koya1251,-,a,-,-,k,-,-,-,-,-,i,-
telu1262,-,a,-,-,k,-,-,-,-,-,u,-
nort2702,-,a,-,-,k,-,-,-,-,-,i,-
nort2699,-,a,-,-,k,-,-,-,-,-,-,-
bada1257,-,e,-,-,l,-,-,-,-,-,3,-
kota1263,-,e,-,-,l,-,-,-,-,-,u,-
koda1255,-,e,-,-,l,a,k,a,n,d,a,-
ravu1237,-,e,-,-,l,-,-,-,-,-,e,-
nucl1305,y,e,-,-,l,-,-,-,-,-,e,-
mala1464,-,i,-,-,l,-,-,-,-,-,a,-
tami1289,-,e,-,-,l,-,-,-,-,-,e,-
bett1235,y,a,-,-,l,-,-,-,-,-,i,-
tulu1258,-,i,-,-,r,-,-,-,-,-,a,-
toda1252,-,e,-,-,r,-,-,-,-,-,s,-
kuvi1243,p,a,t,-,r,-,-,-,-,-,a,-
kuru1302,-,a,t,k,h,-,-,-,-,-,a,-
saur1249,h,a,t,-,h,-,-,-,-,-,a,-
brah1256,p,a,-,-,n,-,-,-,-,-,-,-
