language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
koya1251,-,-,-,-,-,i,-,t,-,-,a,-
telu1262,-,-,-,-,-,i,-,d,-,-,u,-
nort2702,n,-,-,-,-,a,-,r,-,-,i,-
nort2702,p,-,-,-,-,o,-,h,-,-,e,m
nort2699,p,-,-,-,-,o,-,n,-,-,i,m
bada1257,n,-,-,-,-,i,n,d,-,-,3,-
kota1263,n,-,-,-,-,i,-,t,-,S,a,l
koda1255,m,-,-,-,-,i,-,r,o,d,u,-
ravu1237,m,-,-,-,-,a,-,n,-,-,a,-
nucl1305,-,-,-,-,-,i,-,d,-,Z,o,-
mala1464,n,e,-,-,-,e,n,t,u,g,a,-
tami1289,n,e,-,-,-,e,n,t,-,-,3,-
bett1235,n,-,-,-,-,i,n,d,-,Z,u,-
tulu1258,m,-,-,-,-,i,n,d,a,r,a,-
toda1252,n,-,-,-,-,i,-,t,-,S,a,l
kuru1302,-,-,-,-,-,o,-,g,-,n,a,-
saur1249,h,-,-,-,-,o,-,g,-,p,o,-
brah1256,b,e,S,o,l,i,n,g,-,-,-,-
