language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
koya1251,-,-,-,-,n,-,a,-,d,-,-,-,-,a,-,m
telu1262,-,-,-,-,n,-,a,-,d,u,t,-,S,u,-,-
nort2702,-,-,-,-,t,-,a,-,k,-,-,-,-,a,-,-
nort2699,-,-,-,-,n,-,a,-,d,-,-,-,-,u,-,s
bada1257,-,-,-,-,n,-,a,-,d,3,v,a,d,3,-,-
kota1263,-,-,-,-,n,-,a,-,d,-,v,-,-,u,-,-
koda1255,-,-,-,-,n,-,a,-,d,-,-,-,-,a,-,-
ravu1237,-,-,-,-,n,-,a,-,d,-,-,-,-,a,-,-
nucl1305,-,-,-,-,n,-,a,-,d,-,-,-,-,3,-,-
mala1464,-,-,-,-,n,-,a,-,d,a,k,u,g,a,-,-
tami1289,-,-,-,-,n,-,a,-,d,-,-,-,-,3,-,-
bett1235,-,-,-,-,n,-,a,-,d,-,-,-,-,i,-,-
tulu1258,-,-,-,-,n,-,a,-,d,a,p,a,r,a,-,-
toda1252,-,-,-,-,n,-,a,-,d,a,n,-,d,3,-,-
toda1252,-,-,-,-,n,-,a,-,d,a,r,-,r,3,-,-
kuru1302,-,e,k,h,n,-,a,-,-,-,-,-,-,-,-,-
saur1249,h,e,k,p,-,-,o,-,-,-,-,-,-,-,-,-
brah1256,-,-,-,-,t,S,e,r,r,-,-,-,-,i,n,g
