language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
pott1240,-,-,-,t,-,-,-,a,-,d,-,-,-,i,n,g,-,-,-
duru1236,-,-,-,t,-,-,-,a,-,r,-,-,-,u,N,g,-,-,-
koya1251,-,-,-,k,-,-,-,a,-,d,-,-,-,-,-,Z,a,m,-
telu1262,-,-,-,k,-,-,-,a,-,l,-,-,-,e,-,y,a,m,u
nort2702,-,-,-,t,-,-,-,a,-,r,-,-,-,-,-,k,i,-,-
nort2699,-,-,-,k,-,-,-,a,-,l,-,-,-,e,-,y,a,-,-
kota1263,-,i,-,r,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
koda1255,-,-,-,t,-,-,-,o,m,b,-,-,-,e,-,-,-,-,-
ravu1237,-,-,-,t,-,-,-,o,m,b,-,-,-,e,-,-,-,-,-
nucl1305,m,e,-,d,-,-,-,a,-,d,Z,i,r,i,-,k,a,-,-
nucl1305,-,-,-,h,-,-,-,i,-,-,-,-,r,i,-,-,-,-,-
mala1464,k,a,-,r,-,-,-,a,-,L,-,-,-,3,-,-,-,-,-
mala1464,-,i,-,r,-,-,-,a,-,l,-,-,-,-,-,-,-,-,-
tami1289,-,i,-,r,-,-,-,a,-,L,-,-,-,-,-,-,-,-,-
bett1235,-,-,-,t,-,-,-,3,-,d,-,-,l,3,-,-,-,-,-
toda1252,k,u,-,d,-,-,-,a,-,l,-,-,-,-,-,-,-,-,-
kuru1302,-,u,m,b,-,-,-,a,-,l,-,-,-,k,-,h,o,-,-
saur1249,-,-,-,t,S,-,-,e,-,d,-,-,-,-,-,r,o,-,-
brah1256,-,-,-,d,Z,a,g,a,-,r,-,-,-,-,-,-,-,-,-
