language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
koya1251,-,-,-,-,m,-,-,a,n,t,S,i,d,-,-,-,-
telu1262,-,-,-,-,m,-,-,a,n,t,S,i,-,-,-,-,-
nort2702,-,-,-,-,-,-,-,a,-,-,s,a,l,-,-,-,-
nort2699,s,o,-,-,b,-,h,a,-,-,t,a,n,-,-,-,-
bada1257,-,o,-,-,L,-,-,a,-,-,y,a,d,-,-,3,-
kota1263,-,o,-,-,l,-,-,-,-,-,-,u,d,-,-,3,-
koda1255,-,-,-,-,n,-,-,a,-,-,-,-,l,-,-,a,-
ravu1237,-,-,-,-,n,-,-,a,-,-,-,-,l,-,-,3,-
nucl1305,-,o,-,-,L,i,y,a,-,-,-,-,d,-,-,u,-
mala1464,-,-,-,-,n,-,-,a,-,-,-,-,l,-,-,a,-
tami1289,-,-,-,-,n,-,-,a,-,-,-,-,l,-,-,a,-
bett1235,-,-,-,-,n,-,-,a,-,-,-,-,l,-,-,-,-
tulu1258,-,e,d,e,d,-,-,a,-,-,-,-,n,-,-,a,-
toda1252,-,-,-,-,-,-,-,u,-,-,-,-,l,t,-,i,-
kuvi1243,-,-,-,-,n,-,-,e,-,-,-,-,y,-,-,u,n
kuru1302,-,-,-,-,-,-,-,-,-,-,-,-,d,a,-,v,-
saur1249,-,-,-,-,r,-,-,a,-,-,-,-,d,-,-,u,-
saur1249,-,-,-,-,h,-,-,e,-,-,-,-,d,-,-,u,-
brah1256,-,-,-,-,-,-,-,-,-,-,-,-,d,Z,u,a,n
