language,x1,x2,x3,x4
kumy1244,b,-,e,r
noga1249,b,-,e,r
kara1464,b,-,e,r
kara1465,b,-,e,r
kara1467,b,-,e,r
kaza1248,b,-,e,r
kirg1245,b,-,e,r
uzbe1247,b,-,e,r
uigh1240,b,-,E,r
bash1264,b,-,i,r
midd1325,b,-,i,r
bara1273,b,-,e,r
nort2686,p,-,e,r
sout2694,b,-,e,r
oldu1238,b,-,e,r
gaga1249,v,-,e,r
anat1259,v,-,e,r
crim1257,b,-,e,r
nort2697,v,-,e,r
turk1304,b,-,e,r
sala1264,p,-,e,r
west2402,p,-,e,r
khak1248,p,-,i,r
shor1247,p,-,e,r
midd1324,p,-,E,r
tuvi1240,b,-,e,r
tofa1248,b,-,e,r
turk1303,v,i,e,r
dolg1241,b,i,e,r
yaku1245,b,i,e,r
chuv1255,p,-,a,r
