language,x1,x2,x3,x4
kumy1244,-,o,l,-
noga1249,-,o,l,-
kara1464,-,o,l,-
kara1465,-,o,l,-
kara1467,-,o,l,-
kaza1248,-,o,l,-
kirg1245,-,a,l,-
uzbe1247,-,u,-,-
uigh1240,-,u,-,-
bash1264,-,u,l,-
midd1325,-,u,l,-
bara1273,-,o,l,-
nort2686,-,o,l,-
sout2694,-,o,l,-
oldu1238,-,o,l,-
gaga1249,-,o,-,-
anat1259,-,o,-,-
crim1257,-,o,-,-
nort2697,-,o,-,-
turk1304,-,o,l,-
sala1264,v,u,-,-
west2402,q,o,l,-
khak1248,-,o,l,-
shor1247,-,o,l,-
midd1324,-,o,l,-
tuvi1240,-,o,l,-
tofa1248,-,o,l,-
turk1303,-,o,-,-
dolg1241,g,i,n,i
yaku1245,k,i,n,i
chuv1255,v,o,l,-
