language,x1,x2,x3,x4
kumy1244,g,e,-,s
noga1249,k,e,-,s
kara1464,k,e,-,s
kara1465,k,e,-,s
kara1467,k,e,-,s
kaza1248,k,e,-,s
kirg1245,k,e,-,s
uzbe1247,k,e,-,s
uigh1240,k,E,-,s
bash1264,k,i,-,8
midd1325,k,i,-,s
bara1273,k,e,-,s
nort2686,k,e,-,s
sout2694,k,e,-,s
oldu1238,b,i,t,S
oldu1238,k,e,-,s
gaga1249,k,e,-,s
anat1259,k,e,-,s
crim1257,k,e,-,s
nort2697,k,E,-,s
turk1304,k,e,-,s
sala1264,k,e,-,s
west2402,k,e,-,s
khak1248,k,i,-,s
shor1247,k,e,-,s
midd1324,k,E,-,s
tuvi1240,k,e,-,s
tofa1248,k,e,-,s
turk1303,k,E,-,s
dolg1241,b,u,-,s
yaku1245,b,u,-,s
chuv1255,k,a,-,s
