language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
kumy1244,-,g,e,t,e,-,r,-,-,-
noga1249,-,k,e,t,e,-,r,i,l,-
kara1464,-,k,e,t,i,-,r,i,l,-
kara1465,-,-,-,t,-,-,S,u,q,-
kara1467,-,k,e,t,e,-,r,i,l,-
kaza1248,-,k,e,t,e,-,r,-,-,-
kirg1245,-,k,e,t,e,-,r,i,l,-
uigh1240,-,-,e,-,-,-,r,-,l,E
uigh1240,-,k,e,t,i,-,r,i,l,-
bash1264,-,k,i,t,E,-,r,e,l,-
nort2686,-,-,-,-,-,-,S,u,q,-
nort2686,-,-,-,-,-,-,m,i,n,-
nort2686,-,-,-,t,a,n,z,a,-,-
nort2686,-,k,e,d,i,-,r,i,l,-
sout2694,-,-,-,t,-,-,S,u,q,-
crim1257,-,-,-,t,-,-,S,u,q,-
crim1257,-,k,e,t,e,-,r,i,l,-
gaga1249,-,p,-,-,-,-,-,i,n,-
nort2697,-,-,-,t,-,-,S,u,X,-
turk1304,-,-,-,t,-,-,S,u,q,-
khak1248,-,-,-,s,u,-,X,-,-,-
khak1248,-,-,-,-,e,-,r,-,l,e
shor1247,-,-,-,-,e,-,r,-,l,e
sala1264,-,-,-,-,-,-,X,u,p,-
west2402,-,-,-,-,i,-,-,-,n,-
west2402,-,-,-,-,e,-,r,-,l,e
turk1303,-,h,-,-,-,-,-,i,n,-
tuvi1240,-,-,-,-,-,-,-,i,n,-
tuvi1240,-,k,e,d,i,-,r,i,l,-
dolg1241,u,-,-,t,-,-,-,u,n,-
yaku1245,e,r,e,t,a,-,x,u,s,-
yaku1245,e,r,e,t,a,-,x,u,s,-
chuv1255,-,X,o,b,a,-,r,-,-,-
