language,x1,x2,x3,x4,x5
kumy1244,t,i,k,-,-
noga1249,t,i,k,-,-
kara1464,t,i,k,-,-
kara1465,t,i,k,-,-
kara1467,t,i,k,-,-
kaza1248,t,i,k,-,-
kirg1245,t,i,k,-,-
uzbe1247,t,i,k,-,-
uigh1240,t,i,k,-,-
bash1264,t,e,k,-,-
midd1325,t,e,k,-,-
bara1273,t,i,k,-,-
nort2686,k,e,k,t,e
nort2686,t,i,k,-,-
sout2694,k,e,k,t,e
gaga1249,d,i,k,-,-
anat1259,d,i,k,-,-
crim1257,t,i,k,-,-
nort2697,t,i,k,-,-
turk1304,t,i,k,-,-
sala1264,t,i,X,-,-
west2402,t,e,k,-,-
khak1248,t,i,k,-,-
shor1247,t,i,k,-,-
midd1324,t,i,k,-,-
tuvi1240,d,a,r,-,a
tofa1248,d,a,r,-,a
turk1303,t,i,k,-,-
dolg1241,t,i,k,-,-
yaku1245,t,i,k,-,-
chuv1255,S,i,l,-,e
