language,x1,x2,x3,x4,x5,x6
kumy1244,-,b,i,l,-,-
kumy1244,-,s,e,z,-,-
noga1249,-,t,u,y,-,-
noga1249,-,s,e,z,-,-
kara1464,-,s,e,s,-,-
kara1465,-,b,i,l,-,-
kara1465,-,s,e,z,-,-
kara1467,-,b,i,l,-,-
kara1467,-,s,e,z,-,-
kaza1248,-,b,i,l,-,-
kaza1248,-,s,e,z,-,-
kirg1245,-,b,i,l,-,-
kirg1245,-,s,e,z,-,-
uigh1240,-,s,E,z,-,-
bash1264,-,t,o,y,-,-
bash1264,-,h,i,8,-,-
nort2686,-,s,e,s,-,-
sout2694,-,s,e,z,-,-
crim1257,-,d,u,y,-,-
crim1257,-,s,e,z,-,-
gaga1249,-,d,u,y,-,-
nort2697,-,d,u,y,-,-
turk1304,-,d,u,y,-,-
turk1304,-,s,u,z,-,-
khak1248,-,-,-,p,i,l
khak1248,-,s,i,z,i,n
shor1247,-,s,e,s,-,-
west2402,-,t,u,y,-,-
tuvi1240,t,S,u,d,u,-
dolg1241,-,b,i,l,-,-
yaku1245,-,b,i,l,-,-
chuv1255,-,t,u,y,-,-
chuv1255,-,s,i,s,-,-
