language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
kumy1244,-,a,x,-,a,C,-,-,-,l,u,q
kumy1244,-,o,r,m,a,-,-,-,-,n,-,-
noga1249,-,a,x,-,a,S,-,-,-,l,u,q
noga1249,-,o,r,m,a,-,-,-,-,n,-,-
kara1464,-,o,r,m,a,-,-,-,-,n,-,-
kara1465,-,a,x,-,a,-,-,-,-,t,-,S
kaza1248,-,o,r,m,a,-,-,-,-,n,-,-
uigh1240,-,o,r,m,a,-,-,-,-,n,-,-
bash1264,-,u,r,m,a,-,-,-,-,n,-,-
nort2686,-,a,x,-,a,S,a,r,a,z,u,-
nort2686,-,a,x,-,a,S,a,r,a,z,u,-
sout2694,-,a,x,-,a,S,-,-,-,-,-,-
crim1257,-,-,d,-,a,-,-,-,-,x,-,-
crim1257,-,o,r,m,a,-,-,-,-,n,-,-
gaga1249,-,-,d,-,a,-,-,-,-,-,-,-
nort2697,-,a,x,-,a,-,-,-,-,t,-,S
khak1248,-,a,x,-,a,-,-,-,-,s,-,-
shor1247,-,a,x,-,a,-,-,-,-,S,-,-
sala1264,-,a,r,-,u,-,-,-,-,x,-,-
tuvi1240,-,a,r,-,u,-,-,-,-,x,-,-
tuvi1240,-,u,y,-,a,-,-,-,-,S,-,-
dolg1241,m,-,-,-,a,-,-,-,-,s,-,-
yaku1245,t,u,-,-,a,-,-,-,-,-,-,-
chuv1255,v,o,r,m,a,-,-,-,-,n,-,-
