language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
kumy1244,-,-,-,-,-,-,-,y,a,n
noga1249,-,-,-,-,-,-,-,y,a,n
kara1464,-,k,-,-,i,-,-,v,-,-
kara1464,-,-,-,-,-,-,-,y,a,n
kara1465,-,k,-,-,i,-,-,y,-,-
kara1467,-,-,-,-,-,-,-,Z,a,n
kaza1248,-,-,-,-,-,-,-,Z,a,n
kirg1245,-,k,-,-,i,-,-,y,-,-
kirg1245,-,-,-,-,-,-,-,j,a,n
uigh1240,-,k,-,-,e,-,-,y,-,-
uigh1240,-,-,-,-,-,-,-,y,a,n
bash1264,-,-,-,-,-,-,-,y,a,n
nort2686,-,k,-,-,i,-,-,y,-,-
sout2694,-,k,-,-,i,-,-,y,-,-
crim1257,-,-,-,-,-,-,-,y,a,n
gaga1249,-,-,-,-,-,-,-,y,a,n
nort2697,-,-,-,-,-,-,-,y,a,n
turk1304,-,-,-,-,-,-,-,y,a,n
khak1248,-,k,-,-,e,-,-,y,-,-
shor1247,-,k,-,-,e,-,-,y,-,-
sala1264,-,k,-,-,e,-,-,y,-,-
west2402,-,k,-,-,i,-,-,y,-,-
turk1303,-,k,-,-,-,-,-,i,e,n
tuvi1240,-,q,-,-,u,-,-,p,-,-
dolg1241,-,g,i,d,e,r,i,y,-,-
yaku1245,u,m,-,-,a,-,-,y,-,-
chuv1255,-,-,-,-,-,-,-,S,u,n
