language,x1,x2,x3,x4,x5,x6,x7
kumy1244,t,-,-,-,e,r,i
noga1249,t,-,-,-,e,r,i
kara1464,t,-,-,-,e,r,i
kara1465,t,-,-,-,e,r,i
kara1467,t,-,-,-,e,r,i
kaza1248,t,-,-,-,e,r,i
kirg1245,t,-,-,-,e,r,i
uzbe1247,t,-,-,-,e,r,i
uigh1240,t,-,-,-,e,r,E
bash1264,t,-,-,-,i,r,e
midd1325,t,-,-,-,i,r,e
bara1273,t,-,-,-,E,r,i
nort2686,t,-,-,-,e,r,e
sout2694,t,-,-,-,e,r,e
oldu1238,t,-,-,-,e,r,i
gaga1249,d,-,-,-,e,r,i
anat1259,d,-,-,-,e,r,i
crim1257,t,-,-,-,e,r,i
nort2697,d,-,-,-,E,r,i
turk1304,d,-,-,-,e,r,i
sala1264,t,-,-,-,i,r,-
west2402,t,-,-,-,e,r,i
khak1248,t,-,-,-,e,r,-
shor1247,t,-,-,-,e,r,e
midd1324,t,S,a,m,a,x,-
tuvi1240,k,-,-,-,e,S,-
tofa1248,k,-,-,-,e,S,-
turk1303,t,-,-,-,E,r,i
dolg1241,t,-,-,-,i,r,i
yaku1245,t,-,-,-,i,r,i
chuv1255,t,-,-,-,i,r,i
