language,x1,x2,x3,x4
kumy1244,k,i,l,-
noga1249,k,i,l,-
kara1464,k,i,l,-
kara1465,k,i,l,-
kara1467,k,i,l,-
kaza1248,k,i,l,-
kirg1245,k,i,l,-
uzbe1247,k,u,l,-
uigh1240,k,i,l,-
bash1264,k,e,l,-
midd1325,k,e,l,-
nort2686,k,i,l,-
sout2694,k,i,l,-
oldu1238,k,i,l,-
gaga1249,k,i,l,-
anat1259,k,i,l,-
crim1257,k,i,l,-
nort2697,k,i,l,-
turk1304,k,i,l,-
sala1264,k,u,l,-
west2402,k,u,l,-
khak1248,k,i,l,-
shor1247,k,i,l,-
midd1324,k,u,l,y
tuvi1240,X,i,l,-
tofa1248,h,i,l,-
turk1303,k,i,l,-
dolg1241,k,i,l,-
yaku1245,k,i,l,-
chuv1255,k,e,l,-
