language,x1,x2,x3,x4
kumy1244,-,s,e,n
noga1249,-,s,i,z
kara1464,-,s,e,n
kara1465,-,s,e,n
kara1467,-,s,e,n
kaza1248,-,s,e,n
kirg1245,-,s,e,n
uzbe1247,-,s,i,z
uigh1240,-,s,E,n
bash1264,-,h,i,n
midd1325,-,s,i,n
bara1273,-,s,i,n
nort2686,-,s,e,n
sout2694,-,s,e,n
oldu1238,-,s,e,n
gaga1249,-,s,E,n
anat1259,-,s,e,n
crim1257,-,s,e,n
nort2697,-,s,E,n
turk1304,-,s,e,n
sala1264,-,s,e,n
west2402,-,s,e,n
khak1248,-,s,i,n
shor1247,-,s,e,n
midd1324,-,s,E,n
tuvi1240,-,s,e,n
tofa1248,-,s,e,n
turk1303,-,s,E,n
dolg1241,-,-,e,n
yaku1245,-,-,e,n
chuv1255,e,z,i,-
