language,x1,x2,x3,x4,x5
kumy1244,-,-,b,u,t
kumy1244,-,a,y,a,q
noga1249,-,a,y,a,q
kara1464,-,a,y,a,k
kara1465,-,-,b,u,t
kara1465,-,a,y,a,q
kara1467,-,a,y,a,q
kaza1248,-,a,y,a,q
kirg1245,-,-,b,u,t
kirg1245,-,a,y,a,q
uzbe1247,-,o,y,o,q
uigh1240,-,a,y,a,q
bash1264,-,a,y,a,q
midd1325,-,a,y,a,q
bara1273,-,a,y,a,q
nort2686,-,-,b,u,t
sout2694,-,-,b,u,t
oldu1238,-,-,b,u,t
oldu1238,-,a,d,a,q
gaga1249,-,a,y,a,k
anat1259,-,a,y,a,k
crim1257,-,a,y,a,q
nort2697,-,a,y,a,G
turk1304,-,a,y,a,q
sala1264,-,a,y,a,X
west2402,-,a,z,a,q
khak1248,-,a,z,a,X
shor1247,-,a,z,a,q
midd1324,-,a,z,a,q
tuvi1240,-,-,b,u,t
tofa1248,-,-,b,u,t
turk1303,h,a,d,a,q
dolg1241,-,a,t,a,k
yaku1245,-,a,t,a,X
chuv1255,-,o,r,a,-
