language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
kumy1244,-,y,u,m,-,u,-,S,a,q
noga1249,-,y,u,m,-,-,-,s,a,q
kara1464,-,-,i,m,-,-,-,S,a,X
kara1465,-,j,u,m,-,u,-,S,a,q
kara1467,-,Z,u,m,-,-,-,s,a,q
kaza1248,-,Z,u,m,-,-,-,s,a,q
kirg1245,-,j,u,m,-,-,-,S,a,q
uzbe1247,-,y,u,m,-,-,-,S,o,q
uigh1240,-,y,u,m,-,-,-,S,a,q
bash1264,-,y,o,m,-,-,-,S,a,q
midd1325,-,y,o,m,-,-,-,S,a,q
sout2694,-,j,u,m,-,-,-,S,a,X
oldu1238,-,y,u,m,-,-,-,S,a,q
gaga1249,-,y,u,m,-,u,-,S,a,k
anat1259,-,y,u,m,-,u,-,S,a,k
crim1257,-,y,u,m,-,-,-,S,a,q
nort2697,-,y,u,m,-,-,-,S,a,G
turk1304,-,y,u,m,-,-,-,S,a,q
sala1264,-,-,-,m,-,i,t,S,e,X
west2402,-,y,u,m,-,-,-,s,a,q
khak1248,-,n,u,m,-,-,-,z,a,X
shor1247,t,S,u,m,-,t,-,S,a,q
midd1324,t,S,3,m,-,t,-,S,a,q
tuvi1240,t,S,u,m,-,t,-,S,a,q
tofa1248,-,C,u,m,-,-,-,j,a,q
dolg1241,-,-,i,m,-,i,-,g,e,s
yaku1245,-,s,u,m,n,a,-,x,a,s
chuv1255,-,S,e,m,-,-,-,Z,e,-
