language,x1,x2,x3,x4
kumy1244,-,m,e,n
noga1249,-,m,e,n
kara1464,-,m,e,n
kara1465,-,m,e,n
kara1467,-,m,e,n
kaza1248,-,m,e,n
kirg1245,-,m,e,n
uzbe1247,-,m,e,n
uigh1240,-,m,E,n
bash1264,-,m,i,n
midd1325,-,m,i,n
bara1273,-,m,i,n
nort2686,-,m,e,n
sout2694,-,m,e,n
oldu1238,-,b,e,n
gaga1249,-,b,E,n
anat1259,-,b,e,n
crim1257,-,m,e,n
nort2697,-,m,E,n
turk1304,-,m,e,n
sala1264,-,m,e,n
west2402,-,m,e,n
khak1248,-,m,i,n
shor1247,-,m,e,n
midd1324,-,m,E,n
tuvi1240,-,m,e,n
tofa1248,-,m,e,n
turk1303,-,m,E,n
dolg1241,-,m,i,n
yaku1245,-,m,i,n
chuv1255,e,b,i,-
