language,x1,x2,x3,x4,x5
kumy1244,b,u,l,a,n
kumy1244,b,u,l,a,n
noga1249,m,-,-,a,n
noga1249,m,-,-,a,n
kara1464,b,u,l,a,-
kara1465,b,-,l,a,-
kara1467,m,e,n,e,n
kaza1248,m,-,-,e,n
kirg1245,m,e,n,e,n
uigh1240,b,i,l,E,n
uigh1240,b,i,l,E,n
bash1264,m,e,n,E,n
nort2686,v,-,l,a,-
sout2694,-,-,l,a,-
crim1257,-,-,n,e,n
crim1257,-,i,l,e,-
crim1257,-,i,l,e,-
gaga1249,-,-,n,a,n
nort2697,-,i,l,E,-
nort2697,-,i,l,E,-
turk1304,b,i,l,e,n
turk1304,b,i,l,e,n
khak1248,-,-,d,a,N
shor1247,p,-,-,a,-
shor1247,p,u,l,a,-
sala1264,-,-,l,a,-
west2402,p,i,l,i,n
west2402,p,i,l,i,n
turk1303,-,-,l,a,-
tuvi1240,b,i,l,e,-
dolg1241,-,-,n,a,n
yaku1245,-,-,n,a,n
chuv1255,b,a,l,a,-
chuv1255,b,-,-,a,-
