language,x1,x2,x3,x4,x5
kumy1244,-,a,-,-,l
noga1249,-,a,-,-,l
kara1464,-,a,-,-,l
kara1465,-,a,-,-,l
kara1467,-,a,-,-,l
kaza1248,-,a,-,-,l
kirg1245,-,a,-,-,l
uzbe1247,-,o,-,-,l
uigh1240,-,a,-,-,l
bash1264,-,a,-,-,l
midd1325,-,a,-,-,l
bara1273,-,a,-,-,l
nort2686,-,a,-,-,l
sout2694,-,a,-,-,l
oldu1238,-,a,-,-,l
gaga1249,-,a,-,-,l
anat1259,-,a,-,-,l
crim1257,-,a,-,-,l
nort2697,g,e,t,i,r
turk1304,-,a,-,-,l
sala1264,-,a,-,-,l
west2402,-,a,-,-,l
khak1248,-,a,-,-,l
shor1247,-,a,-,-,l
midd1324,-,a,-,-,l
tuvi1240,-,a,-,-,l
tofa1248,-,a,-,-,l
turk1303,-,a,-,-,l
dolg1241,-,u,-,-,l
yaku1245,-,u,-,-,l
chuv1255,-,i,-,-,l
