language,x1,x2,x3,x4,x5
kumy1244,-,-,-,a,q
noga1249,-,-,-,a,q
kara1464,-,-,-,a,k
kara1465,-,-,-,a,q
kara1467,-,-,-,a,q
kaza1248,-,-,-,a,q
kirg1245,-,-,-,a,q
uzbe1247,-,-,-,o,q
uigh1240,-,-,-,a,q
bash1264,-,-,-,a,q
midd1325,-,-,-,a,q
bara1273,-,-,-,a,q
nort2686,-,-,-,a,q
sout2694,-,-,-,a,q
oldu1238,-,-,-,a,q
gaga1249,-,-,-,a,k
anat1259,-,-,-,a,k
crim1257,-,-,-,a,q
nort2697,-,-,-,a,X
turk1304,-,-,-,a,q
sala1264,-,-,f,i,r
west2402,-,-,-,a,q
khak1248,-,-,-,a,q
shor1247,-,-,-,a,q
midd1324,-,-,-,a,q
tuvi1240,-,-,-,a,q
tofa1248,-,-,-,a,q
turk1303,-,-,v,a,r
dolg1241,t,e,h,i,n
yaku1245,-,-,s,i,r
chuv1255,-,-,y,u,X
