language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
kumy1244,-,-,-,-,-,t,a,m,-,-,a,-,q,-,-
noga1249,b,o,x,u,r,d,-,-,-,-,a,-,q,-,-
noga1249,-,-,-,-,-,t,a,m,-,-,a,-,q,-,-
kara1464,-,-,-,-,-,t,a,m,-,-,a,-,q,-,-
kara1465,-,-,-,-,-,t,a,m,-,-,a,-,q,-,-
kara1467,-,-,-,-,-,-,-,-,-,-,a,l,q,u,m
kara1467,-,-,-,-,-,t,a,m,-,-,a,-,q,-,-
kaza1248,-,-,-,-,-,t,a,m,-,-,a,-,q,-,-
kirg1245,-,-,-,-,-,t,a,m,-,-,a,-,q,-,-
uigh1240,-,-,-,-,-,-,-,-,-,-,a,l,q,i,n
uigh1240,-,-,-,-,-,-,-,b,-,-,o,-,x,a,z
uigh1240,-,-,-,-,-,t,a,m,-,-,a,-,q,-,-
bash1264,-,-,-,-,-,-,-,b,o,x,a,-,8,-,-
bash1264,-,-,-,-,-,t,a,m,-,-,a,-,q,-,-
nort2686,-,-,-,-,-,-,-,-,-,-,-,-,t,u,n
nort2686,-,-,-,-,-,-,-,p,-,-,a,-,k,u,r
sout2694,-,-,-,-,-,t,a,m,-,-,a,-,q,-,-
crim1257,-,-,-,-,-,-,-,b,-,-,o,-,x,a,z
gaga1249,-,-,-,-,-,-,-,b,-,-,u,-,-,a,z
nort2697,-,-,-,-,-,-,-,b,-,-,o,-,x,a,z
turk1304,-,-,-,-,-,-,-,b,-,-,o,-,x,a,z
khak1248,-,-,-,-,-,t,a,m,-,-,a,-,X,-,-
shor1247,-,-,-,-,-,t,u,n,-,-,-,-,-,-,-
shor1247,-,-,-,-,-,t,a,b,-,-,a,-,q,-,-
sala1264,p,o,x,-,-,t,-,-,-,-,a,-,X,-,-
west2402,-,-,-,-,-,-,-,p,-,-,o,-,x,u,s
turk1303,-,-,-,-,-,-,-,b,-,-,o,-,x,u,z
tuvi1240,b,o,s,-,-,t,a,-,-,-,-,-,-,-,-
dolg1241,-,-,-,-,-,k,a,b,-,-,u,r,g,a,-
yaku1245,-,-,-,-,-,X,a,b,-,-,a,r,x,a,-
yaku1245,-,-,-,-,-,t,a,m,-,-,a,-,X,-,-
chuv1255,-,-,-,-,-,-,-,p,-,-,u,-,r,-,-
