language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
kumy1244,-,-,-,-,-,d,-,-,-,-,-,e
noga1249,-,-,-,-,-,d,-,-,-,-,-,e
noga1249,-,-,a,y,-,t,-,-,-,-,-,-
kara1464,-,-,a,y,-,t,-,-,-,-,-,-
kara1465,-,-,-,-,-,d,-,-,-,-,-,e
kara1465,-,-,a,y,-,t,-,-,-,-,-,-
kara1467,-,-,-,-,-,d,-,-,-,-,-,e
kara1467,-,-,a,y,-,t,-,-,-,-,-,-
kaza1248,-,-,a,y,-,t,-,-,-,-,-,-
kirg1245,-,-,-,-,-,d,-,-,-,-,-,e
kirg1245,-,-,a,y,-,t,-,-,-,-,-,-
uigh1240,d,-,E,-,-,-,-,-,-,-,-,-
uigh1240,-,-,e,y,-,t,-,-,-,-,-,-
bash1264,-,-,-,-,-,t,-,-,-,-,-,i
bash1264,-,-,E,y,-,t,-,-,-,-,-,-
nort2686,-,-,-,-,-,d,-,-,-,-,-,e
nort2686,-,-,a,y,-,t,-,-,-,-,-,-
sout2694,-,-,-,-,-,d,-,-,-,-,-,e
sout2694,-,-,a,y,-,t,-,-,-,-,-,-
crim1257,-,-,a,y,-,t,-,-,-,-,-,-
gaga1249,s,-,e,-,-,l,-,-,-,-,-,e
gaga1249,-,-,-,-,-,d,-,-,-,-,-,e
nort2697,s,-,e,y,-,l,-,-,-,-,-,E
nort2697,-,-,-,-,-,d,-,-,-,-,-,e
turk1304,d,-,i,y,-,-,-,-,-,-,-,-
turk1304,-,-,a,y,-,t,-,-,-,-,-,-
khak1248,t,S,o,X,-,t,-,-,-,-,-,a
shor1247,-,-,a,y,-,t,-,-,-,-,-,-
sala1264,-,-,-,-,-,t,-,-,-,-,-,E
sala1264,-,-,e,y,i,S,-,-,-,-,-,a
west2402,-,-,-,-,-,t,-,-,-,-,-,i
west2402,-,-,a,y,-,t,-,-,-,-,-,-
turk1303,h,-,a,y,-,-,-,-,-,-,-,-
tuvi1240,-,-,-,-,-,t,S,u,x,a,l,a
dolg1241,-,-,-,-,-,d,-,i,-,-,-,e
yaku1245,-,-,-,-,-,d,-,i,-,-,-,e
chuv1255,-,-,-,-,-,t,-,-,-,-,-,e
