language,x1,x2,x3,x4,x5
kumy1244,g,-,e,r,-
noga1249,k,-,e,r,-
kara1464,k,-,e,r,-
kara1465,k,-,e,r,-
kara1467,k,-,e,r,-
kaza1248,k,-,e,r,-
kirg1245,k,-,e,r,-
uzbe1247,k,-,o,r,-
uigh1240,k,-,e,r,-
bash1264,k,-,i,r,-
midd1325,k,-,i,r,-
bara1273,k,-,e,r,-
nort2686,k,-,e,r,-
sout2694,k,-,e,r,-
oldu1238,k,-,e,r,-
gaga1249,g,-,e,r,-
anat1259,g,-,e,r,-
crim1257,k,-,e,r,-
nort2697,g,y,e,r,-
turk1304,g,-,e,r,-
sala1264,k,-,e,r,-
west2402,k,-,e,r,-
khak1248,k,-,e,r,-
shor1247,k,-,e,r,-
midd1324,k,-,o,r,y
tuvi1240,k,-,e,r,-
tofa1248,k,-,e,r,-
turk1303,k,-,e,r,-
dolg1241,k,-,e,r,-
yaku1245,k,-,e,r,-
chuv1255,k,-,u,r,-
