language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
kumy1244,-,i,s,-,t,i,n,d,e,-
noga1249,-,i,s,-,t,i,n,d,e,-
kara1464,-,a,S,u,r,-,-,-,a,-
kara1464,-,i,s,-,t,-,-,-,-,-
kara1465,b,a,S,-,-,u,n,d,a,-
kara1467,-,i,s,-,t,i,n,d,e,-
kaza1248,-,i,s,-,t,i,n,-,e,n
kirg1245,-,i,s,-,t,i,n,d,e,-
uzbe1247,-,u,s,-,t,i,-,d,a,-
uigh1240,-,i,s,-,t,i,-,d,E,-
bash1264,-,e,s,-,t,e,n,-,E,n
midd1325,-,e,s,-,t,e,n,-,E,n
bara1273,-,i,s,-,t,-,-,-,-,-
nort2686,-,i,s,-,t,-,-,-,-,-
sout2694,-,i,s,-,t,i,-,l,e,-
oldu1238,-,i,z,-,-,-,-,-,-,-
gaga1249,-,i,s,-,t,i,n,d,E,-
anat1259,-,i,z,e,r,i,n,d,e,-
crim1257,-,i,s,-,t,-,-,-,-,-
nort2697,-,i,s,-,t,i,n,d,E,-
turk1304,b,a,S,-,-,u,n,d,a,-
turk1304,-,i,S,-,t,i,n,d,e,-
sala1264,b,a,S,-,-,-,-,-,-,-
sala1264,-,i,S,-,t,-,-,-,-,-
west2402,-,y,-,-,-,i,-,z,e,-
khak1248,-,i,s,-,t,i,n,d,e,-
shor1247,-,i,s,-,t,i,n,d,e,-
tuvi1240,-,-,-,-,q,u,-,r,u,-
tuvi1240,-,i,S,-,t,-,-,-,-,-
tofa1248,-,a,d,-,Z,u,-,r,u,-
tofa1248,-,i,s,-,t,i,n,d,e,-
dolg1241,-,i,r,-,d,i,n,-,e,n
yaku1245,-,i,r,-,d,i,n,-,e,n
chuv1255,S,i,y,-,-,i,n,-,-,-
