language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
kumy1244,-,t,S,e,t,-,-,S,e,k,-,-
noga1249,-,-,S,e,-,-,-,S,e,k,e,y
kara1464,-,t,S,e,t,-,-,S,E,g,i,-
uigh1240,-,t,S,e,t,-,-,S,E,k,-,-
bash1264,-,-,s,E,-,-,-,s,-,k,E,-
midd1325,-,t,S,E,t,-,-,S,E,k,-,-
bara1273,-,t,S,i,t,-,-,S,E,k,-,-
nort2686,-,-,C,e,-,-,-,j,e,k,-,-
sout2694,-,t,S,e,t,-,-,S,e,k,-,-
oldu1238,-,t,S,e,t,-,-,S,e,k,-,-
gaga1249,-,t,S,i,t,-,-,S,e,k,-,-
anat1259,-,t,S,i,t,-,-,S,e,k,-,-
crim1257,-,t,S,i,t,-,-,S,e,k,-,-
nort2697,-,t,S,i,t,-,-,S,E,k,-,-
sala1264,-,t,S,i,t,-,-,S,e,X,-,-
west2402,-,t,S,i,t,-,-,S,i,g,-,-
khak1248,-,t,S,a,X,-,a,y,a,X,-,-
shor1247,-,t,S,a,q,k,i,y,e,k,-,-
tuvi1240,-,t,S,e,t,-,-,S,e,k,-,-
tofa1248,a,q,q,a,-,-,-,S,-,-,-,-
dolg1241,-,-,-,o,t,-,-,-,-,-,-,-
