language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
kumy1244,-,-,-,-,q,-,-,-,u,-,r,s,a,q,-
noga1249,-,-,-,-,q,-,-,-,u,-,r,s,a,q,-
noga1249,-,-,-,-,-,-,-,-,i,-,-,S,-,-,-
kara1464,-,-,-,-,k,-,-,-,a,-,r,-,u,n,-
kara1464,-,-,-,-,k,u,r,s,a,-,X,-,-,-,-
kara1465,-,-,-,-,q,-,-,-,a,-,r,-,u,n,-
kara1467,-,-,-,-,q,-,-,-,a,-,r,-,u,n,-
kara1467,-,-,-,-,q,-,-,-,u,-,r,s,a,q,-
kara1467,-,-,-,-,-,-,-,-,i,-,-,S,-,-,-
kaza1248,-,-,-,-,q,-,-,-,a,-,r,-,u,n,-
kaza1248,-,-,-,-,-,-,-,-,i,-,s,-,-,-,-
kirg1245,-,-,-,-,q,-,-,-,u,-,r,s,a,q,-
kirg1245,-,-,-,-,-,-,-,-,i,-,t,S,-,-,-
uzbe1247,-,-,-,-,q,-,-,-,o,-,r,-,i,n,-
uigh1240,-,-,-,-,q,-,-,-,e,-,r,-,i,n,-
uigh1240,-,-,-,-,q,-,-,-,o,-,s,-,a,q,-
uigh1240,-,-,-,-,-,-,-,-,i,t,S,-,-,-,-
bash1264,-,-,-,-,q,-,-,-,o,-,r,h,a,q,-
bash1264,-,-,-,-,-,-,-,-,e,-,-,s,-,-,-
midd1325,-,-,-,-,q,-,-,-,a,-,r,-,u,n,-
midd1325,-,-,-,-,q,-,-,-,o,-,r,s,a,q,-
bara1273,-,-,-,-,-,-,-,-,e,-,-,-,-,C,-
nort2686,-,-,-,-,q,-,-,-,a,-,r,-,u,n,-
nort2686,-,-,-,-,-,-,-,-,-,-,-,-,i,t,S
sout2694,-,-,-,-,-,-,-,-,-,-,-,-,i,t,S
oldu1238,-,-,-,-,q,-,-,-,a,-,r,-,u,n,-
gaga1249,-,-,-,-,k,-,-,-,a,-,r,n,u,-,-
anat1259,-,-,-,-,k,-,-,-,a,-,r,-,u,n,-
crim1257,-,-,-,-,q,-,-,-,a,-,r,-,u,n,-
crim1257,-,-,-,-,q,-,-,-,u,-,r,s,a,q,-
nort2697,-,-,-,-,G,-,-,-,a,-,r,-,u,n,-
turk1304,-,-,-,-,G,-,-,-,a,-,r,-,u,n,-
turk1304,-,-,-,-,-,-,-,-,-,-,-,-,i,t,S
sala1264,-,-,-,-,X,-,-,-,u,-,-,s,a,X,-
west2402,-,-,-,-,q,-,-,-,a,-,r,-,u,n,-
west2402,i,t,S,i,g,-,-,-,e,-,-,-,-,-,-
khak1248,-,-,-,-,X,-,-,-,a,-,r,-,u,n,-
khak1248,-,-,-,-,-,-,-,-,i,s,t,-,i,-,-
shor1247,-,-,-,-,q,-,-,-,a,-,r,n,u,-,-
shor1247,-,-,-,-,q,-,-,-,u,-,r,s,a,q,-
midd1324,-,-,-,-,q,-,-,-,a,-,r,-,3,n,-
tuvi1240,-,-,-,-,X,-,-,-,u,-,r,-,u,n,-
tuvi1240,-,-,-,-,-,-,-,-,i,-,Z,-,i,n,-
tofa1248,-,-,-,-,-,-,-,-,i,-,S,t,i,-,-
turk1303,-,-,-,-,q,-,-,-,a,-,r,-,u,n,-
dolg1241,-,-,-,-,-,-,-,-,i,-,s,-,-,-,-
yaku1245,-,-,-,-,-,-,-,-,i,-,s,-,-,-,-
chuv1255,-,-,-,-,X,-,-,-,u,-,r,-,3,m,-
