language,x1,x2,x3,x4,x5
sanj1282,n,i,5,i,-
yucu1250,n,i,5,i,-
nort2985,n,i,5,i,-
soya1236,n,i,5,i,-
apas1235,n,i,5,i,-
apas1235,n,i,5,i,-
tida1235,n,i,-,i,-
tama1339,n,3,5,3,-
tama1339,n,i,-,i,-
huit1252,n,3,5,3,-
sind1277,n,3,5,3,-
sanm1294,n,3,5,3,-
peno1244,n,3,5,3,-
atat1238,n,3,5,3,-
yoso1239,n,3,5,3,-
sanm1295,n,3,5,i,-
ocot1243,n,i,5,i,-
magd1235,n,i,5,i,-
taca1257,n,3,5,3,-
itun1239,n,3,5,3,-
sant1439,n,3,5,3,-
alco1235,n,i,-,i,-
alco1235,n,i,-,i,-
yolo1241,n,i,-,i,-
alac1244,y,i,-,i,-
alac1244,n,i,-,i,-
ayut1236,n,i,-,i,7
mixt1425,n,i,-,i,-
mixt1425,n,i,-,i,-
mixt1425,n,i,-,i,-
mixt1425,n,i,-,i,-
juxt1235,n,i,-,i,-
juxt1235,n,i,-,i,-
sila1250,n,i,-,i,-
sila1250,n,i,-,i,-
sila1250,n,i,-,i,-
sila1250,n,i,-,i,-
sila1250,n,i,-,i,-
sant1436,n,i,-,i,7
chay1249,n,3,5,3,-
chay1249,n,3,5,3,-
jami1235,n,3,5,3,-
sanj1281,n,3,5,3,-
pino1237,n,3,5,3,-
pino1237,n,i,-,i,-
pino1237,n,i,5,i,-
pino1237,n,i,5,i,-
tutu1243,n,3,5,3,-
ixta1235,n,3,5,3,-
chaz1235,n,i,-,i,-
chaz1235,n,i,-,i,-
sout3001,n,i,-,i,-
sout3001,n,i,-,i,-
chig1239,n,i,-,i,-
caca1250,n,i,-,i,-
coat1241,n,3,5,3,-
cuya1240,n,3,5,3,-
cuya1240,n,3,5,3,-
tepe1280,-,y,-,u,-
chic1273,t,u,7,a,-
chic1273,t,u,-,-,-
sanm1298,t,u,-,-,-
copa1237,t,o,7,-,-
