language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
yucu1250,-,-,t,-,-,-,n,i,5,-,-,-,-,i,-
nort2985,-,-,t,-,-,-,n,i,5,-,-,-,-,i,-
soya1236,-,-,t,-,-,-,n,i,5,-,-,-,-,i,-
apas1235,-,-,t,-,-,-,-,i,5,-,-,-,-,i,-
apas1235,-,-,t,-,-,-,-,i,5,-,-,-,-,i,-
tida1235,-,-,t,-,-,-,n,i,-,-,-,-,-,i,-
tama1339,-,-,t,-,y,-,-,o,t,-,-,-,-,o,-
tama1339,-,-,t,S,i,n,n,3,5,-,-,-,-,3,-
tama1339,-,-,t,S,i,n,n,3,5,-,-,-,-,3,-
tama1339,-,-,t,-,i,-,t,i,-,-,-,-,-,i,-
tama1339,-,-,t,-,i,-,t,i,-,-,-,-,-,i,-
huit1252,-,-,t,S,i,-,n,3,5,-,-,-,-,3,-
huit1252,-,-,t,S,i,-,n,3,5,-,-,-,-,3,-
sind1277,-,-,t,S,3,-,n,3,5,-,-,-,-,3,-
sind1277,-,-,t,S,3,-,n,3,5,-,-,-,-,3,-
sanm1294,-,-,t,S,-,-,-,o,t,-,-,-,-,o,-
sanm1294,-,-,t,S,i,-,n,3,5,-,-,-,-,3,-
sanm1294,-,-,t,S,i,-,n,3,5,-,-,-,-,3,-
peno1244,-,-,t,-,-,-,S,o,t,-,-,-,-,o,-
peno1244,-,-,t,-,-,-,n,3,5,-,-,-,-,3,-
atat1238,-,-,n,-,-,-,-,3,5,-,-,-,-,3,-
yoso1239,-,-,t,-,-,-,-,3,5,-,-,-,-,3,-
yoso1239,-,-,t,-,-,-,S,o,t,-,-,-,-,o,-
sanm1295,-,-,t,-,-,-,-,3,5,-,-,-,-,i,-
taca1257,-,-,n,-,-,-,-,3,5,-,-,-,-,3,-
itun1239,-,-,t,-,-,-,-,3,5,-,-,-,-,3,-
sant1439,-,-,t,-,-,-,n,3,5,-,-,-,-,3,-
alco1235,-,-,t,-,-,-,-,i,-,-,-,-,-,i,-
alac1244,-,-,t,-,-,-,n,i,-,-,-,-,-,i,-
ayut1236,-,-,t,-,-,-,-,i,-,-,-,-,-,i,7
mixt1425,-,-,t,-,-,-,-,i,-,-,7,-,-,i,-
juxt1235,-,-,t,-,-,-,S,o,-,-,k,-,-,o,-
juxt1235,-,-,t,-,-,-,y,i,-,-,-,-,-,i,-
sila1250,-,-,t,-,-,-,-,i,Z,o,t,-,-,o,-
sila1250,-,-,t,-,-,-,-,i,Z,o,t,-,-,o,-
sila1250,-,-,t,-,-,-,-,i,Z,o,t,-,-,o,-
sila1250,-,-,t,-,-,-,-,i,Z,o,t,-,-,o,-
sila1250,-,-,t,-,-,-,-,i,-,-,t,-,i,i,-
sila1250,-,-,t,-,-,-,-,i,-,-,t,-,i,i,-
sila1250,-,-,t,-,-,-,-,i,-,-,-,-,-,i,-
sila1250,-,-,t,-,-,-,-,i,Z,o,t,-,-,o,-
sila1250,-,-,t,-,-,-,-,i,Z,o,t,-,-,o,-
sila1250,-,-,t,-,-,-,S,i,-,-,-,-,-,i,-
sant1436,-,-,t,-,-,-,-,i,-,-,-,-,-,i,7
chay1249,-,-,t,-,-,-,-,3,5,-,-,-,-,3,-
jami1235,-,-,t,-,-,-,-,3,5,-,-,-,-,3,-
pino1237,-,-,t,-,-,-,-,3,5,-,-,-,-,3,-
pino1237,-,-,t,-,-,-,-,i,5,-,-,-,-,i,-
pino1237,-,-,t,-,-,-,-,i,-,-,-,-,-,i,-
pino1237,-,-,t,-,-,-,-,3,5,-,-,-,-,3,-
tutu1243,-,-,t,-,-,-,-,3,5,-,-,-,-,3,-
ixta1235,-,-,t,-,-,-,-,3,5,-,-,-,-,3,-
chaz1235,-,-,s,-,-,-,-,i,y,o,t,-,-,o,-
chaz1235,-,-,s,-,-,-,-,i,y,o,t,-,-,o,-
chaz1235,-,-,s,-,-,-,-,i,-,-,t,-,i,i,-
chaz1235,-,-,s,-,-,-,-,i,-,-,t,-,i,i,-
chaz1235,t,-,s,-,-,-,-,i,-,-,t,-,i,i,-
chaz1235,t,-,s,-,-,-,-,i,-,-,t,-,i,i,-
sout3001,-,-,s,-,-,-,-,i,-,-,t,n,i,i,-
sout3001,-,-,s,-,-,-,-,i,-,-,t,n,i,i,-
sout3001,-,-,s,-,-,-,-,i,y,o,t,-,-,o,-
sout3001,-,-,s,-,-,-,-,i,y,o,t,-,-,o,-
sout3001,-,-,s,-,-,-,-,i,-,-,t,n,i,i,-
sout3001,-,-,s,-,-,-,-,i,-,-,t,n,i,i,-
chig1239,-,-,s,-,-,-,-,-,-,-,t,n,i,i,-
chig1239,-,-,s,-,-,-,-,-,-,-,t,n,i,i,-
caca1250,-,-,t,-,-,-,-,i,Z,o,t,-,-,o,-
caca1250,-,-,t,-,-,-,-,i,Z,o,t,-,-,o,-
cuya1240,-,-,t,-,-,-,-,3,5,-,-,-,-,3,-
cuya1240,-,-,t,-,-,-,-,3,5,-,-,-,-,3,-
chic1273,S,u,t,-,-,-,-,u,g,-,-,-,u,i,-
chic1273,S,u,t,-,-,-,-,u,g,-,-,-,u,i,-
chic1273,S,u,t,-,-,-,-,u,g,-,-,-,u,i,-
chic1273,S,u,t,-,-,-,-,u,g,-,-,-,u,i,-
chic1273,S,u,t,-,-,-,-,u,g,-,-,-,u,i,-
chic1273,S,u,t,-,-,-,-,u,g,-,-,-,u,i,-
