language,x1,x2,x3,x4,x5,x6
sanj1282,-,n,u,n,i,-
yucu1250,-,n,u,n,i,-
nort2985,-,n,u,n,i,-
soya1236,-,n,o,n,i,-
apas1235,-,n,u,n,i,-
apas1235,-,n,u,n,i,-
tida1235,-,n,u,n,i,-
tama1339,-,n,u,n,i,-
tama1339,-,n,u,n,i,-
huit1252,-,n,u,n,i,-
sind1277,-,n,u,n,i,-
sanm1294,-,n,u,n,i,-
peno1244,-,n,u,n,i,-
atat1238,-,n,u,n,i,-
yoso1239,-,n,u,n,i,-
sanm1295,-,n,u,n,i,-
ocot1243,-,n,u,n,i,-
magd1235,-,n,u,n,i,-
taca1257,-,n,u,n,i,-
itun1239,-,n,u,n,i,-
sant1439,-,n,u,n,i,-
alco1235,-,n,u,n,i,-
alco1235,-,n,u,n,i,-
yolo1241,-,n,u,n,i,-
alac1244,-,n,o,n,i,-
alac1244,-,n,o,n,i,-
ayut1236,-,n,u,n,i,7
mixt1425,-,n,u,n,i,-
mixt1425,-,n,u,n,i,-
mixt1425,-,n,u,n,i,-
mixt1425,-,n,u,n,i,-
juxt1235,-,n,u,n,i,-
juxt1235,-,n,u,n,i,-
sila1250,-,n,o,n,i,-
sila1250,-,n,u,n,i,-
sila1250,-,n,u,n,i,-
sila1250,-,n,u,n,i,-
sila1250,-,n,u,n,i,-
sant1436,-,n,u,n,i,7
chay1249,-,n,u,5,i,-
chay1249,-,n,u,5,i,-
jami1235,-,n,u,5,i,-
sanj1281,-,n,u,5,i,-
pino1237,-,n,u,n,i,-
pino1237,-,n,u,n,i,-
pino1237,-,n,u,5,i,-
pino1237,-,n,u,n,i,-
tutu1243,-,n,u,5,i,-
ixta1235,-,n,u,5,i,-
chaz1235,-,n,u,n,i,-
chaz1235,-,n,u,n,i,-
sout3001,-,n,u,n,i,-
sout3001,-,n,u,n,i,-
chig1239,-,n,u,n,i,-
caca1250,-,n,o,n,i,-
coat1241,-,n,u,n,i,-
cuya1240,-,n,u,n,i,-
cuya1240,-,n,u,n,i,-
tepe1280,-,n,i,n,u,-
chic1273,-,7,-,n,i,-
sanm1298,-,7,-,n,i,h
copa1237,7,n,-,-,u,-
