language,x1,x2,x3,x4,x5
atat1238,Z,o,-,o,-
yoso1239,y,o,-,o,-
sanm1295,Z,o,-,o,-
ocot1243,Z,o,-,o,-
magd1235,Z,o,-,o,-
alco1235,y,o,-,o,-
alco1235,y,o,-,o,-
yolo1241,y,o,-,o,-
alac1244,y,o,-,o,-
alac1244,y,o,-,o,-
ayut1236,y,o,-,o,7
mixt1425,y,o,-,o,-
mixt1425,y,o,-,o,-
mixt1425,y,o,-,o,-
mixt1425,Z,o,-,o,-
juxt1235,Z,o,-,o,-
sila1250,y,o,-,o,-
sila1250,Z,o,-,o,-
sant1436,y,o,-,o,7
chay1249,y,o,-,o,-
jami1235,y,o,-,o,-
sanj1281,y,o,-,o,-
pino1237,y,o,-,o,-
coat1241,S,o,-,o,-
chic1273,-,a,w,i,-
sanm1298,y,a,b,i,-
copa1237,y,a,w,i,-
