language,x1,x2,x3,x4,x5,x6,x7
sanj1282,-,-,u,w,a,-,-
yucu1250,-,-,u,w,a,-,-
nort2985,-,-,u,w,a,-,-
soya1236,-,-,u,w,a,-,-
apas1235,-,-,u,b,a,-,-
apas1235,-,-,u,w,a,-,-
tida1235,-,-,u,-,a,-,-
tama1339,-,-,u,-,a,-,-
huit1252,-,-,u,w,e,-,-
sind1277,a,t,u,-,-,-,-
sanm1294,-,-,u,w,a,-,-
peno1244,-,-,u,-,a,-,-
atat1238,-,-,u,b,a,-,-
yoso1239,-,-,u,w,a,-,-
sanm1295,-,-,u,-,a,-,-
ocot1243,-,-,u,b,a,-,-
magd1235,-,-,u,b,a,-,-
magd1235,-,k,a,Z,a,-,-
taca1257,-,-,u,b,a,-,-
itun1239,-,-,u,b,a,-,-
sant1439,-,-,u,b,a,-,-
alco1235,-,-,u,b,a,-,-
alco1235,-,-,u,b,a,-,-
yolo1241,-,-,u,b,a,-,-
alac1244,-,y,o,w,a,-,-
alac1244,-,y,o,b,a,-,-
ayut1236,-,-,u,b,a,-,-
mixt1425,-,-,u,b,a,-,-
mixt1425,-,-,u,b,a,-,-
mixt1425,-,-,u,b,a,-,-
mixt1425,-,-,u,b,a,-,-
juxt1235,-,-,o,b,a,-,-
juxt1235,-,-,u,b,a,-,-
sila1250,-,-,i,b,a,-,-
sila1250,-,-,i,b,a,-,-
sila1250,-,-,o,b,a,-,-
sila1250,-,-,e,b,a,-,-
sant1436,-,-,u,b,a,-,-
chay1249,-,-,u,w,a,-,-
chay1249,-,-,u,b,a,-,-
jami1235,-,-,u,b,a,-,-
sanj1281,-,-,u,b,a,-,-
pino1237,-,-,u,w,a,-,-
pino1237,-,-,u,-,a,-,-
pino1237,-,-,u,w,a,-,-
pino1237,-,-,u,b,a,-,-
tutu1243,-,-,u,w,a,-,-
ixta1235,-,-,u,b,a,-,-
chaz1235,-,-,u,w,a,-,-
chaz1235,-,-,u,-,a,-,-
sout3001,-,-,u,-,a,-,-
chig1239,-,-,u,-,a,-,-
caca1250,-,-,o,b,a,-,-
coat1241,-,-,u,b,e,-,-
cuya1240,-,-,u,w,e,-,-
cuya1240,-,-,u,w,e,-,-
tepe1280,-,-,-,y,a,-,-
chic1273,-,-,-,-,a,i,7
sanm1298,-,-,-,y,a,i,-
copa1237,-,-,-,-,e,-,7
