language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
magd1235,s,-,-,a,-,-,-,s,i,-,-,7,i
magd1235,s,-,-,a,-,-,-,s,i,-,-,7,i
ocot1243,s,e,7,e,-,-,-,s,i,-,-,7,i
ocot1243,s,e,7,e,-,-,-,s,i,-,-,7,i
sanm1296,s,-,-,e,-,-,-,s,3,-,-,7,3
sanm1296,s,-,-,e,-,-,-,s,3,-,-,7,3
mixt1425,s,-,-,e,-,-,-,s,i,-,-,7,i
mixt1425,s,-,-,e,-,-,-,s,i,-,-,7,i
coat1241,8,-,-,-,-,-,-,y,o,-,-,k,o
sant1437,t,-,-,a,7,-,a,8,a,-,-,y,a
sant1437,t,-,-,a,7,-,a,8,a,-,-,y,a
chic1273,t,-,-,a,-,n,i,S,a,n,a,7,a
chic1273,t,-,-,a,-,n,i,S,a,n,a,7,a
chic1273,d,-,-,a,7,n,i,S,a,n,-,-,a
chic1273,d,-,-,a,7,n,i,S,a,n,-,-,a
