language,x1,x2,x3,x4
atat1238,-,3,-,3
yoso1239,-,3,-,3
sanm1295,-,3,-,3
ocot1243,-,i,-,i
magd1235,-,i,-,i
alco1235,-,i,-,i
yolo1241,-,i,-,i
alac1244,-,i,-,i
alac1244,-,i,-,i
ayut1236,-,i,-,i
mixt1425,-,i,-,i
mixt1425,-,i,-,i
mixt1425,-,i,-,i
mixt1425,-,i,-,i
juxt1235,-,i,-,i
sila1250,-,i,-,i
sila1250,-,i,-,i
sant1436,-,i,-,i
chay1249,-,3,-,3
jami1235,-,3,-,3
sanj1281,-,3,-,3
pino1237,-,i,-,i
sout3001,-,i,-,i
caca1250,-,i,-,i
coat1241,-,3,-,3
tepe1280,n,u,-,u
chic1273,7,i,-,-
chic1273,7,u,7,a
sanm1298,-,u,-,-
copa1237,-,u,-,-
