language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
magd1235,-,h,-,i,t,-,-,-,e,-,-,-,-,-
alco1235,n,d,-,i,k,-,-,-,a,-,-,-,-,-
yolo1241,n,d,-,i,k,-,-,-,a,-,-,-,-,-
ayut1236,n,d,-,i,k,-,-,-,a,-,-,-,-,-
mixt1425,n,d,-,i,k,-,-,-,a,-,-,-,-,-
mixt1425,n,d,-,i,k,-,-,-,a,-,-,-,-,-
juxt1235,n,d,Z,i,k,-,-,-,a,-,-,-,-,-
sila1250,n,d,-,i,k,-,-,-,a,-,-,-,-,-
chay1249,-,-,-,-,k,-,o,7,o,-,-,-,-,-
sanj1281,-,-,-,-,k,i,i,7,i,-,-,-,-,-
tepe1280,-,t,-,-,S,-,-,-,a,-,-,-,n,u
chic1273,-,-,-,-,g,-,-,-,a,t,S,a,7,-
chic1273,-,-,-,-,k,-,-,-,a,t,S,a,-,-
sanm1298,-,-,-,-,k,-,-,-,a,r,-,a,7,-
copa1237,-,-,-,-,k,-,-,-,a,-,S,a,7,-
