,!,3,4,5,7,8,C,E,G,L,N,S,T,X,Z,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
!,5.368254206843343,-2.0061401082449155,3.05478431322825,-0.5150578849578498,-1.2681832660726844,0.86799247856937,-0.8167600453224981,-1.6291767405730457,3.105499405807267,0.15559924801925895,-1.8058795898224727,-0.859872583099234,0.4705637975351378,0.3423481401827857,0.9362805663076514,-3.7972723778984196,-0.5410537747011386,-0.6695842595485839,-1.8487606379604529,-2.705572359062794,-0.6484151946604353,-1.6301862292879274,-1.9050588140278997,-3.4338192148046343,-0.3157002777361244,-2.7039787884352524,-2.368130425395899,-2.6476052503856877,-2.976151866522189,-3.0081444081552373,-1.8195318232511735,0.008965634144582069,-2.3374186424529313,-2.051069775010058,-2.5323728802235888,-3.0943646939415483,-0.4799444610584276,-1.9894557852218515,-0.6403939430337129,-1.930514388073112,-0.31062349920523324
3,-2.0061401082449164,2.3601497778616105,-0.6048488743735101,-3.9762401338357725,-4.337323427174584,-2.2147533345883064,-4.339817697918508,-0.29887522539938427,-0.5541337817944934,-3.367458404576751,-5.417884728434976,-4.361876826497411,-3.445789236914436,-2.953319670217563,-2.608283291509321,-0.42067126982333836,-5.694611987615155,-4.305119895571283,-5.556021874551468,-0.4607745497410285,-4.283950830683135,-5.3829098399557,-4.8715448210697145,-1.077116793431773,-3.906340593850933,-6.315983927047758,-5.980135564008406,-6.307238437987448,-5.587183186030502,-0.17214367498729732,-5.431536961863679,-3.650667553457178,-5.616279334536899,-5.621755476595321,-6.260998939312301,-0.8548358466877559,-4.046487225594175,-5.491460028620028,-4.300027130635473,-4.849372346125672,-3.7515674858421653
4,3.05478431322825,-0.6048488743735092,5.275102973548604,1.7265381738097894,0.13310796779872192,2.293381264019837,0.5845311885489082,-0.22788550670163943,4.506790639678673,1.5568904818906653,-0.22634012454474828,0.5414186507721723,1.6392327361377914,1.743639374054192,2.3375718001790577,-2.3959811440270133,-0.7043051333559411,0.7558045259018833,-0.2768438870582841,-1.3042811251913875,0.752876039210971,-0.3219854184825337,-0.47967002857743246,-2.032527980933228,1.1091214535454759,-1.302687554563846,-0.9668391915244925,-1.2463140165142814,-0.3326056417538297,-1.606853174283831,-0.41824058937976716,1.273681333010238,-0.9120298570024641,-0.6974065901279047,-1.1310816463521824,-1.693073460070142,0.9213467728129787,-0.5405365023611903,0.7608972908376934,-0.5051256026226447,1.1758255430064786
5,-0.5150578849578498,-3.9762401338357716,1.7265381738097894,4.285287417468825,-3.142973111859215,-1.229940918531371,-2.571748691296408,-3.7977277048877394,0.9369484414925733,-1.4498576639836873,0.7092802739022064,-2.957805980199973,-1.1796427105995368,-1.7331124010658954,1.3382916963594518,-5.965823342213113,-3.8288363148866775,-2.182259438100565,-3.0078270935030442,-4.803505756163537,-2.7463485917611754,-3.385891978196833,-3.483116751842731,-4.487628508521334,-0.8420235067937272,-3.6808270410158244,-2.086938652380259,-4.386593555013157,1.0836157262778823,-5.176695372469931,-3.940454738576612,-2.296160865175862,-2.470148687563679,-4.109619844110421,-3.7284628411970733,-5.215287609266987,-2.4500444866492836,-4.042937419751757,-2.7613168583591534,-0.31543019588879595,0.2623821494721259
7,-1.2681832660726853,-4.337323427174584,0.13310796779872103,-3.1429731118592157,3.4415365671241664,-1.9386145370753711,-3.3088737310648026,-4.105542069347211,0.6133857200649624,-1.4426965617009495,-1.2112892238050588,-3.487787810000599,-2.5502034505386213,-0.17480307390970307,-1.5400847624665142,-5.11931481099047,-2.1491710473525254,-3.070726167085162,-3.300528482228958,-5.3518367246323555,-3.140528880402739,-1.869320133162459,0.36906317903572994,-5.298383002472806,-2.4317514591790186,-0.8041940910245211,-2.3793136097298433,-2.8028091005928717,-2.672146332614518,-4.898460691925824,-3.385876033164778,1.7373921576909206,-2.4432482163245437,-1.827191457484595,-0.8409108700158496,-5.652075662169666,-3.2865514767031687,-1.144840066190663,-0.7894815662234613,-2.8890089979386664,-3.301292716121714
8,0.86799247856937,-2.2147533345883055,2.293381264019837,-1.229940918531371,-1.9386145370753702,4.2294905966162535,-0.1978389003975245,-2.344059774146567,2.319998805019793,0.9243847395908062,-1.1516606628164743,0.32122735842605277,0.8085214840023047,-0.20548080872756813,1.8031839138377208,-4.4677036489011055,-2.8204794008008687,1.7480580933132428,0.9070350692858362,-3.333444015646684,-0.9886047787925447,-1.6897498266924664,-1.328957666285854,-3.0808616183767974,1.7445387253517977,-3.3744100594379383,-0.3779981615623642,-3.3854778021839067,-3.300837264118334,-3.5951940702188736,-2.5344148568246947,-0.8890129500695814,-1.2492426515444635,1.073590431699551,0.28943431940906095,-3.8322372457397673,-1.1078161176423178,-2.481195267481162,-1.2893190088154372,0.32966821509879907,2.9116130440414594
C,-0.8167600453224981,-4.339817697918507,0.5845311885489082,-2.571748691296408,-3.3088737310648018,-0.1978389003975245,4.029372932626486,-4.099429865252388,0.6352462811279249,-0.4908916763458535,-4.118503770298231,0.712069395620115,1.5222218019224156,-1.909651418476539,0.5605978649044463,-6.267525502577762,-4.246370290776447,2.047548421612828,-0.7144010411238852,-5.175825483742136,-2.247272907373513,-2.7366178486994377,-3.463911192127279,-5.904072339483976,1.285106286045564,-1.4359817432909718,-2.12870865324603,-5.093760823485969,-5.09953404735942,-5.478397532834579,-4.052113296053395,-2.217090530022718,-4.15179598136956,0.744495299465683,-0.022373556182225585,-5.56461781862089,-2.6384179617069288,-4.281460678494875,-1.9338700061956091,-2.8778976166268126,0.8020248400227388
E,-1.6291767405730457,-0.29887522539938427,-0.22788550670163943,-3.7977277048877394,-4.10554206934721,-2.344059774146567,-4.099429865252388,2.512420583911295,-0.15307286254356178,-3.1270705719106306,-4.910301178346044,-4.142542403029124,-3.0688258692425654,-2.892693630757849,-2.2757716864082855,-0.4386645095013204,-5.388266187157237,-3.9046260304892204,-5.154960955300536,0.8370854367478433,-3.931085014590325,-4.981848920704769,-5.051153098952039,-1.2408422260847596,-3.57483960025582,-5.986648608365142,-5.603172196336535,-5.906177518736516,-5.894856309250667,-1.5075999131508606,-5.102201643181063,-3.386182169211997,-5.421637523658983,-5.124647797081389,-5.860505074230236,-3.1818518012605246,-3.6260387459825667,-5.0154057583039275,-3.9230637629636025,-5.076608672997251,-3.5713144124163474
G,3.105499405807267,-0.5541337817944925,4.506790639678673,0.9369484414925733,0.6133857200649633,2.319998805019793,0.6352462811279249,-0.15307286254356178,7.801431036430333,1.631703126048743,-0.060112144843886384,0.5921337433511891,1.6658502771377472,2.955979723130053,2.4123844443371354,-2.3452660514479966,-0.6535900407769244,0.7824220669018391,-0.4443823604992847,-1.2535660326123708,0.8035911317899878,2.1354550263431262,-0.3379831577926886,-1.9818128883542112,1.1363060487142986,1.5327376207872963,-0.8920265473664148,-1.1955989239352647,-1.4310551170057533,-1.5561380817048143,-0.3675254968007504,4.477757643346829,-0.591651197474345,-0.646691497548888,-1.1493594252601174,-1.6423583674911253,0.9961594169710564,-0.5133519071923676,1.988389444934156,-0.454410510043628,1.0482924041791772
L,0.15559924801925895,-3.36745840457675,1.5568904818906653,-1.4498576639836873,-1.4426965617009495,0.9243847395908062,-0.4908916763458535,-3.1270705719106306,1.631703126048743,4.710138859192232,-1.4078736926794049,0.4995444811984582,-1.0657963146302434,-1.1555456911547992,2.1909593925033786,-5.295166209236005,-3.5558621495756775,-1.0688658022180606,-1.7233595222025109,-4.179368638821318,-2.0986809770087635,-2.3497750717252597,-2.868029470020433,-4.838622623076207,-0.36948017706499225,-3.2904718731928746,1.4206401107319842,-3.870087101863305,-2.798546034747581,-4.41294781642681,-3.2697976055995035,-1.3687838853509398,-1.7743329949504165,-0.5066584644328662,-0.7824795431985532,-4.544630476289878,-1.9302102434067576,-3.042038599904073,-1.6033645990262473,-0.551679237918318,-1.537642376407419
