language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
bodo1269,-,-,-,-,-,-,-,-,-,-,s,-,-,a,-,-,n,s,r,-,-,-,i,-,7
dima1251,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,a,o
rabh1238,-,-,-,-,-,-,-,-,-,-,b,-,-,o,-,-,m,-,-,-,-,-,a,-,-
sher1257,-,-,-,-,-,n,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,u,-,N
bugu1246,-,-,-,-,-,p,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,a,-,t
namu1246,-,-,-,-,-,-,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,u,-,-
shix1238,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,y,-,-,-,i,-,E
lisu1250,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,E,-,-
nort2722,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,l,-,-,-,u,-,3
guiq1238,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,u,-,-
pela1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-,-,E,-,7
zhab1238,-,-,-,-,-,-,-,-,-,-,v,u,-,i,-,-,-,-,l,-,-,-,i,-,-
lash1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,i,-,-
nucl1310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-
acha1249,-,-,-,-,-,-,-,-,-,-,l,u,a,i,-,-,-,-,l,-,u,a,i,-,-
rawa1265,-,-,-,-,-,t,-,-,-,-,h,-,-,i,-,-,-,-,l,-,-,-,a,-,N
drun1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,a,-,N
limb1266,-,-,-,-,-,-,-,-,-,-,Z,-,-,a,-,-,-,-,k,-,m,-,a,-,7
yamp1242,-,-,-,-,-,p,-,-,-,-,h,-,-,a,-,-,-,-,k,-,m,-,a,-,-
lepc1244,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,a,-,-
dhim1246,-,-,-,-,-,-,-,-,-,-,d,-,-,o,-,-,-,-,-,-,-,-,i,-,-
amdo1237,-,-,-,-,-,t,s,-,-,-,y,-,-,a,-,-,-,-,h,-,t,-,a,-,X
tibe1272,-,-,-,-,-,t,-,-,-,-,s,-,-,E,-,-,-,-,-,-,-,-,-,-,-
tibe1272,-,-,-,r,-,k,-,-,-,-,y,-,-,a,-,-,-,-,l,-,-,-,-,-,-
kham1282,-,-,-,-,-,t,s,y,e,-,Z,y,-,a,-,-,-,u,7,-,-,-,-,-,-
jire1238,p,a,u,r,i,t,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,e,-,-
sher1255,-,-,-,-,-,t,-,-,-,-,s,-,-,a,-,-,-,-,l,-,g,-,e,-,-
guru1261,-,-,-,-,-,k,-,-,-,-,i,w,-,a,-,-,-,-,l,-,-,-,a,-,-
thak1245,-,-,-,-,-,k,-,-,-,-,i,-,-,a,-,-,-,-,l,-,-,-,-,-,-
chep1245,p,-,-,-,-,r,-,-,-,-,-,-,-,3,-,-,-,-,S,-,-,-,-,-,-
nyis1236,-,-,-,-,-,-,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,a,-,-
nisi1238,-,-,-,-,-,-,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,a,-,-
bori1243,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,i,-,-,o,-,N
apat1240,-,-,-,-,-,-,-,-,-,-,s,-,-,3,-,-,-,-,l,a,t,-,a,-,-
quey1238,-,-,-,-,-,t,-,-,-,-,S,h,-,i,-,-,-,-,p,-,t,S,a,-,-
horp1239,-,-,-,-,-,-,-,-,-,-,Z,y,-,i,-,-,-,-,v,-,-,-,a,-,-
sang1321,-,-,-,-,-,-,-,-,-,-,v,-,-,e,-,-,-,-,-,-,-,-,-,-,-
loth1237,-,-,o,t,-,S,-,-,-,-,h,-,-,3,-,-,-,-,h,-,-,-,u,-,-
poch1243,-,-,-,m,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-
lush1249,-,-,-,-,-,h,-,-,-,-,l,e,-,-,-,-,-,-,-,-,-,-,o,-,h
hmar1241,-,-,i,n,-,h,-,-,-,-,l,i,-,e,-,-,-,-,-,-,-,-,u,-,-
haka1240,-,-,-,-,-,t,-,-,i,-,l,-,-,e,-,-,-,-,-,-,-,-,u,-,h
gang1266,-,-,-,-,-,-,-,-,-,-,z,-,-,a,-,-,-,-,-,-,-,-,-,-,p
tang1336,-,-,-,-,-,-,-,-,-,-,r,-,-,a,-,-,-,-,y,-,-,-,a,-,k
mani1292,-,-,-,-,-,-,-,-,i,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,i
maon1238,-,-,o,-,-,-,-,-,-,-,Z,-,-,3,-,-,-,-,-,-,-,-,-,-,-
khez1235,-,-,-,-,-,-,-,-,-,-,Z,-,-,3,-,-,-,-,d,-,-,-,e,-,-
reng1255,-,-,-,-,-,-,-,-,-,-,Z,-,-,3,-,-,-,-,v,-,-,-,3,-,-
zeme1240,-,-,-,-,-,-,-,-,-,-,k,-,-,e,-,-,-,-,l,-,-,-,a,-,p
lian1251,-,-,-,-,-,-,-,-,-,-,Z,-,-,i,-,-,-,-,-,-,-,-,a,-,-
yinb1236,-,-,-,-,-,-,-,-,-,-,w,-,-,a,-,-,S,-,h,-,-,-,3,-,-
geko1235,-,-,-,-,-,-,-,-,-,-,w,-,-,a,-,-,s,-,h,-,x,-,3,-,-
paok1235,-,-,-,-,-,-,-,-,-,-,y,-,-,a,-,-,t,-,h,-,-,-,i,-,-
manu1255,-,-,-,-,-,k,-,-,o,-,y,-,-,o,-,-,-,-,S,-,-,-,-,-,-
yint1235,-,-,-,-,-,t,-,-,a,-,y,-,-,a,-,-,-,-,-,-,-,-,-,-,-
west2409,-,-,-,-,-,t,-,-,3,z,y,-,-,E,-,-,t,-,h,-,-,-,i,-,e
geba1237,-,-,-,-,-,-,-,-,-,-,p,-,-,o,-,-,t,-,h,-,-,-,i,-,-
sgaw1245,-,-,-,-,-,-,-,-,-,-,p,-,-,o,-,-,-,-,-,-,-,-,-,-,-
akha1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Z,-,-,-,o,-,-
nort2732,-,-,-,-,-,t,s,-,-,-,h,-,-,i,-,e,t,-,s,-,-,-,a,-,-
