language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
sout2728,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,X,-,-,-,-,u,-,-,-,-,-,-
nort2722,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-,-,X,-,-,-,-,u,-,-,-,-,-,-
guiq1238,-,-,-,m,-,-,-,-,-,-,i,-,-,-,-,-,-,y,-,-,-,-,i,-,-,-,-,-,-
maru1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,a,-,-,-,-,-,-,-,-,-
pela1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,3,-,-,i,-,-,-,-,-,-
zhab1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,a,-,-,i,-,-,-,-,-,-
lash1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,e,-,-,i,-,-,-,-,-,-
nucl1310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,e,-,-,-,-,-,-
acha1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,h,-,-,i,-,-,-,-,-,-
nusu1239,-,-,-,m,-,-,-,-,-,-,3,-,-,-,-,a,-,L,-,-,-,-,i,-,-,-,-,-,-
nusu1239,-,-,-,m,-,-,-,-,-,-,3,-,-,-,-,-,-,l,-,-,-,-,E,-,-,-,-,-,-
youl1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,-,-,-,-,i,-,-,-,-,-,-
rawa1265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,3,m,b,i,-,N,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,3,-,N,-,-,-,-
ersu1241,-,-,-,m,-,-,-,-,-,-,E,-,-,-,-,3,-,r,-,-,-,-,-,-,-,-,-,-,-
lisu1250,-,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,e,-,-,-,-,-,-
pumi1242,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-,-,m,-,-,-,-,o,-,-,-,-,-,-
pumi1242,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-
shix1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,-,-,-,-,e,-,-,-,-,-,-
namu1246,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-,-,S,-,-,-,-,3,-,-,-,-,-,-
lich1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,3,-,r,-,-,-,-
naxi1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,-,-,-,-,a,-,-,-,-,-,-
khal1275,-,-,-,Z,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,N,-,-,-,-
dumi1241,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,7,-,-,-,3
kulu1253,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,k,-,-,-,-
limb1266,-,-,-,-,-,-,-,s,-,-,u,-,-,-,-,-,-,r,-,-,-,-,i,-,7,l,-,-,-
yamp1242,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,7,w,a,b,a
sunw1242,-,-,-,p,-,-,-,h,-,-,a,-,-,-,-,-,-,S,-,-,-,-,e,-,-,-,-,-,-
lepc1244,-,-,-,-,-,-,-,s,-,-,o,-,-,-,-,-,-,m,-,-,-,-,u,-,t,-,-,-,-
dhim1246,-,-,-,b,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,r,-,-,m,a
chep1245,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,u,-,7,-,-,-,-
maga1261,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,m,-,s,-,-,-,-,u,-,-,-,-,-,-
kony1248,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,n,-,-,-,-
amdo1237,-,-,-,s,-,-,-,h,-,-,e,-,-,-,-,-,-,r,-,-,-,-,3,-,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,l,-,-,-,-,o,-,N,-,-,-,-
amdo1237,-,-,-,s,-,-,-,h,-,-,e,-,-,-,-,-,-,r,-,-,-,-,3,-,-,-,-,-,-
tibe1272,-,-,-,l,-,-,-,h,-,-,a,-,-,-,-,-,-,g,-,s,-,p,a,-,-,-,-,-,-
tibe1272,-,-,-,L,-,-,-,-,-,-,a,-,-,-,-,-,-,k,-,-,-,p,a,-,-,-,-,-,-
tibe1272,r,-,-,l,-,-,-,-,-,-,u,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-
