language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
kach1280,-,-,-,-,-,t,-,S,-,o,-,7,-,-
noct1238,-,-,-,-,-,k,-,-,-,o,-,-,-,-
wanc1238,-,-,-,-,-,p,-,-,-,a,-,-,-,-
phom1236,-,-,-,-,-,S,-,u,-,o,-,-,-,-
bodo1269,-,-,-,-,-,h,-,-,-,o,7,r,-,-
dima1251,-,-,-,-,-,r,-,-,-,i,-,-,-,-
garo1247,-,-,-,-,-,-,-,-,-,o,-,n,-,a
rabh1238,r,a,k,-,-,h,-,-,-,u,-,-,-,a
sher1257,-,-,-,-,-,n,-,-,-,a,-,-,-,-
bugu1246,-,-,-,-,-,p,-,h,-,i,-,-,-,-
naxi1245,-,-,-,-,-,k,-,-,-,i,-,-,-,-
namu1246,-,-,t,-,-,y,-,-,-,i,-,k,u,o
shix1238,-,-,-,-,-,k,-,-,-,E,-,-,-,-
lisu1250,-,-,k,-,-,h,-,-,-,e,-,-,-,-
nort2722,-,-,g,-,-,Z,-,-,-,3,-,-,-,-
guiq1238,-,-,-,-,-,k,-,-,-,a,-,-,-,-
pela1242,-,-,-,-,-,p,-,-,-,i,-,-,-,-
zhab1238,-,-,-,-,-,p,-,y,-,i,-,-,-,-
lash1243,-,-,-,-,-,p,-,y,e,i,-,-,-,-
nucl1310,-,-,-,-,-,p,-,-,-,e,-,-,-,-
acha1249,-,-,-,-,-,t,-,s,-,i,-,-,-,-
nusu1239,-,-,-,-,-,b,-,-,-,i,-,-,-,-
nusu1239,-,-,-,-,-,p,-,-,-,i,-,-,-,-
youl1235,-,-,-,-,-,p,-,-,-,i,-,-,-,-
rawa1265,-,-,-,-,-,z,-,-,-,i,-,-,-,-
drun1238,-,-,-,-,-,b,-,-,-,i,-,-,-,-
khal1275,-,-,-,-,-,b,-,-,-,i,-,-,-,-
dumi1241,-,-,-,-,-,b,-,-,-,i,-,n,-,3
kulu1253,-,-,-,-,-,p,-,-,-,i,-,-,-,-
yamp1242,-,-,-,-,-,p,-,-,-,i,-,s,-,-
sunw1242,-,-,-,-,-,g,-,-,-,e,-,-,-,-
lepc1244,-,-,-,-,-,b,-,i,-,i,-,-,-,-
dhim1246,-,-,-,-,-,p,-,-,-,i,-,-,-,-
