language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
kach1280,m,3,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-
noct1238,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-
wanc1238,-,a,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-
phom1236,-,-,-,-,d,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-
bodo1269,-,-,-,-,k,-,-,-,a,-,n,-,-,a,-,-,-,-,-,-,-,-,-
dima1251,-,-,-,-,k,-,h,-,a,-,n,-,-,a,-,-,-,-,-,-,-,-,-
garo1247,-,-,-,-,k,-,-,-,-,-,n,-,-,a,-,-,-,-,-,-,-,-,-
sher1257,-,-,-,-,n,-,-,-,u,-,m,-,-,o,-,-,-,-,-,-,-,-,-
naxi1245,-,-,-,-,k,-,h,-,u,a,n,y,-,i,-,-,-,-,-,-,-,-,-
namu1246,-,-,-,-,g,-,-,-,i,-,-,S,-,E,-,-,-,-,-,-,-,-,-
shix1238,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
lisu1250,-,-,-,-,-,-,Z,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
sout2728,-,-,-,-,t,-,y,-,i,-,n,y,-,i,-,-,-,-,-,-,-,-,-
sout2728,-,-,-,-,t,-,y,-,i,-,n,y,-,i,-,-,-,-,-,-,-,-,-
nort2722,-,-,-,-,k,-,-,-,-,-,-,h,S,u,-,-,s,-,t,-,-,-,-
guiq1238,-,-,-,-,t,-,s,-,-,-,-,y,-,a,-,-,-,-,-,-,-,-,-
pela1242,x,3,-,-,k,-,y,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
zhab1238,-,-,-,-,k,-,y,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
lash1243,y,o,-,-,k,-,y,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
