language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
sout2728,-,-,-,-,t,-,-,-,-,-,h,-,-,-,-,a,-,-
nort2722,-,-,-,-,t,-,-,-,-,-,h,-,-,-,-,a,-,-
guiq1238,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,i,-,-
maru1249,-,-,-,-,t,-,-,-,-,-,h,-,-,-,-,o,-,-
pela1242,-,-,-,-,-,-,-,-,-,-,x,-,-,-,-,u,-,-
pela1242,-,-,-,-,t,-,-,-,-,-,h,-,-,-,-,o,i,-
zhab1238,-,-,-,-,x,-,-,-,-,-,y,-,-,-,-,e,-,-
lash1243,-,-,-,-,t,-,-,-,-,-,h,-,-,-,-,3,-,-
nucl1310,-,-,-,-,t,-,-,-,-,-,h,-,-,-,-,u,i,-
acha1249,-,-,-,-,t,-,-,-,-,-,h,-,-,-,-,e,-,-
nusu1239,-,-,-,-,t,-,-,-,-,-,y,-,-,-,-,o,-,-
nusu1239,-,-,-,-,t,-,-,-,s,-,y,i,-,-,-,o,-,-
youl1235,-,-,-,-,k,-,-,-,-,-,h,-,-,-,-,3,-,-
rawa1265,-,-,-,-,k,-,-,-,-,-,h,-,-,-,-,u,-,-
drun1238,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,-
ersu1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
lisu1250,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,a,-,-
pumi1242,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,3,-,-
pumi1242,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,i,-,-
shix1238,-,t,E,i,t,-,-,-,-,-,h,-,-,-,-,i,-,-
namu1246,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,E,-,-
lich1241,-,-,-,-,t,-,-,-,-,-,h,-,-,-,-,3,-,-
naxi1245,-,-,-,-,t,-,-,-,-,-,h,-,-,-,-,v,-,-
khal1275,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,E,-,-
khal1275,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,E,-,-
dumi1241,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,o,m,-
kulu1253,-,-,-,-,n,-,-,a,-,-,k,-,-,-,-,3,-,-
kulu1253,-,-,-,-,n,-,-,a,-,-,k,-,-,-,-,3,-,-
limb1266,-,-,-,-,n,-,-,a,k,-,h,-,-,-,-,E,-,-
limb1266,-,-,-,-,n,-,-,a,k,-,h,-,-,-,-,E,-,-
yamp1242,-,-,-,-,-,-,-,a,k,-,k,-,-,-,-,o,-,-
yamp1242,-,-,-,-,-,-,-,a,k,-,k,-,-,-,-,o,-,-
sunw1242,-,-,-,-,m,-,-,e,-,-,k,-,-,-,-,o,-,-
sunw1242,-,-,-,-,m,-,-,e,-,-,k,-,-,-,-,o,-,-
lepc1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-
dhim1246,-,-,-,-,-,-,-,i,N,-,k,-,-,-,-,o,-,-
chep1245,-,-,-,-,7,-,-,o,w,-,7,-,-,-,-,-,-,-
maga1261,-,-,-,-,h,-,-,o,-,-,s,-,-,-,-,e,-,-
kony1248,-,-,-,-,n,-,-,u,-,-,-,-,-,-,-,-,-,-
amdo1237,-,-,-,-,k,-,-,a,n,-,n,-,-,-,-,E,-,-
amdo1237,-,-,-,-,k,-,-,a,-,-,n,-,-,-,-,-,-,-
tibe1272,-,p,-,-,h,-,-,3,-,-,k,-,-,-,-,i,-,-
tibe1272,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,e,-,-
kham1282,-,-,-,-,-,-,-,e,-,-,d,-,-,-,-,e,-,-
jire1238,-,-,-,-,t,-,-,-,-,-,h,-,-,-,-,e,-,-
sher1255,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,i,-,-
kaik1246,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,-,-
dakp1242,-,-,-,-,7,-,-,u,-,-,n,y,-,-,-,i,-,-
nucl1729,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,i,u,-
thak1245,-,-,-,-,t,-,-,-,-,-,s,-,-,-,-,a,-,-
guru1261,-,-,-,-,t,-,-,-,-,-,s,-,-,-,-,a,-,-
bang1338,-,-,-,-,-,-,-,a,-,-,l,o,-,-,-,e,-,-
tagi1241,-,-,-,-,-,-,-,a,-,-,l,o,-,-,-,-,-,-
nyis1236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-
nisi1238,-,-,-,-,-,-,-,a,-,-,l,o,-,-,-,3,-,-
pada1257,-,-,-,-,d,-,-,3,-,-,-,-,-,-,-,-,-,-
bori1243,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
apat1240,-,-,-,-,-,-,-,i,n,-,s,-,-,-,-,i,-,-
tara1313,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,e,-,-
idum1241,-,-,-,-,-,-,-,a,-,-,h,-,-,-,-,e,-,-
quey1238,-,-,-,-,t,-,-,-,-,-,s,-,-,-,-,E,-,-
horp1239,-,-,-,-,t,-,-,-,-,-,s,-,-,-,-,E,-,-
sang1321,-,h,a,-,t,-,-,-,-,-,s,-,-,-,-,3,-,-
yimc1240,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,u,-,-
chon1286,-,-,a,-,-,-,-,-,-,-,Z,-,-,-,-,i,-,-
mong1332,-,l,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
loth1237,-,-,o,-,t,s,-,-,-,-,h,-,-,-,-,i,-,-
poch1243,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-
lush1249,-,-,-,-,k,h,-,a,k,-,h,-,-,-,-,a,-,-
lush1249,-,-,-,-,t,s,-,-,-,-,h,-,-,-,-,u,-,-
haka1240,-,-,-,-,k,-,-,-,-,-,h,-,-,-,-,i,-,-
gang1266,-,-,-,-,z,-,-,e,k,-,h,-,-,-,-,u,h,-
tang1336,-,-,-,-,t,s,-,-,-,-,h,-,-,-,-,i,-,-
mani1292,-,m,a,-,d,-,-,-,-,-,-,-,-,-,-,u,-,-
maon1238,-,-,o,-,t,s,-,-,-,-,h,-,-,-,-,3,-,-
khez1235,-,-,-,-,-,-,-,-,-,-,h,u,n,y,-,3,-,-
chok1243,-,-,-,-,t,-,-,-,-,-,s,-,-,-,-,3,o,-
reng1255,-,-,-,-,t,-,-,-,-,-,s,-,-,-,-,3,-,-
zeme1240,-,-,-,-,t,s,-,-,-,-,h,-,-,-,-,i,-,-
zeme1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
lian1251,-,-,a,-,i,s,-,-,-,-,-,-,-,-,-,i,-,-
kach1280,-,-,-,-,-,-,w,o,-,-,Z,-,-,-,-,a,-,-
noct1238,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,a,-,-
wanc1238,-,-,-,-,t,s,h,u,-,-,-,-,-,-,-,a,-,-
phom1236,-,-,-,-,n,-,y,-,-,-,-,-,-,-,-,i,-,-
bodo1269,-,-,-,-,-,-,-,i,-,-,7,-,-,-,-,-,-,-
dima1251,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,o,-,-
garo1247,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,a,-,-
rabh1238,-,-,-,-,-,-,-,o,-,-,k,-,-,-,-,a,i,-
akha1245,-,-,-,-,-,-,-,-,-,-,s,i,-,-,-,i,-,-
miji1239,p,h,a,i,t,-,-,-,-,-,s,-,-,-,-,u,-,-
sher1257,-,-,-,-,t,-,-,-,-,-,h,u,-,-,a,i,-,-
bugu1246,-,-,-,-,-,-,-,-,-,-,y,a,-,y,a,i,-,-
manu1255,-,-,-,-,d,-,-,e,-,-,n,-,-,-,-,u,-,-
manu1255,-,-,-,-,d,-,-,e,-,-,n,-,-,-,-,u,-,-
yint1235,-,-,-,-,d,-,-,3,-,-,n,a,-,-,-,-,-,-
yint1235,-,-,-,-,d,-,-,3,-,-,n,a,-,n,-,3,-,-
west2409,-,-,-,-,-,-,-,-,-,-,n,3,-,-,-,3,-,-
