language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
mani1292,-,-,t,s,h,a,-,-,h,-,-,-,-,-,-,i,-,-,-,-,-,-,-
maon1238,-,-,m,-,-,o,p,-,f,-,-,-,-,-,-,3,-,-,-,-,-,-,-
khez1235,-,-,m,-,-,e,p,-,f,-,-,-,-,-,-,o,-,-,-,-,-,-,-
chok1243,-,-,t,-,-,3,t,-,s,-,-,-,-,-,-,e,-,-,-,-,-,-,-
reng1255,-,-,t,-,-,-,-,-,s,-,-,-,h,-,-,e,-,-,-,-,-,-,-
zeme1240,p,a,t,-,-,i,N,-,k,-,-,-,-,-,-,u,-,-,m,-,-,-,-
lian1251,-,-,t,-,-,a,-,-,k,-,-,-,-,-,-,u,-,-,m,-,-,-,-
mara1379,-,-,t,-,-,i,N,-,k,-,-,-,-,-,-,u,-,-,m,-,-,-,-
kach1280,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,3,n,i,N,-,-,-,-
noct1238,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,N,p,a,-,-
noct1238,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,N,p,a,-,-
phom1236,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,o,-,-,N,-,-,-,-
bodo1269,-,-,-,-,-,-,-,-,b,3,-,-,s,-,-,3,-,-,r,-,-,-,-
dima1251,-,-,-,-,-,-,-,-,m,a,i,t,h,-,-,a,-,-,i,-,-,-,-
garo1247,-,-,-,-,-,-,-,-,b,i,-,l,s,-,-,i,-,-,-,-,-,-,-
rabh1238,-,-,-,-,-,-,-,-,b,3,-,-,s,-,-,3,-,-,r,-,-,-,-
akha1245,-,-,-,-,-,-,-,-,l,3,-,-,Z,-,-,3,-,-,-,-,-,-,-
miji1239,-,-,-,-,-,-,-,-,d,u,-,-,r,-,-,e,-,-,n,-,-,-,-
sher1257,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,u,-,-,N,-,-,-,-
bugu1246,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,a,-,-,w,-,-,-,-
manu1255,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,e,-,-,-,-,-,-,-
yint1235,-,-,-,-,-,-,-,-,n,-,-,-,e,-,-,i,-,-,-,-,-,-,-
west2409,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kaya1317,-,-,m,-,-,3,N,-,n,-,-,-,e,-,-,-,-,-,-,-,-,-,-
yinb1236,-,-,-,-,-,-,-,-,n,-,-,-,e,-,-,i,-,-,-,-,-,-,-
geko1235,-,-,-,-,-,-,-,-,n,-,-,-,3,-,-,i,-,-,-,-,-,-,-
paok1235,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,e,-,-,N,-,-,-,-
geba1237,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,i,-,-,7,-,-,-,-
sgaw1245,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,-,-,7,-,-,-,-
mand1415,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,-,a,n,-,-,-,-
mand1415,-,-,-,-,-,-,-,-,s,-,-,-,u,-,-,i,-,-,-,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,i,-,a,n,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,e,-,-,-,-,-,-,-
mind1253,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,-,e,N,-,-,-,-
oldc1244,-,-,-,-,-,-,-,-,n,-,-,-,h,-,-,i,-,-,n,-,-,-,-
oldc1244,-,-,s,-,-,-,-,-,w,-,-,-,h,-,-,a,-,-,t,s,-,-,-
jian1239,-,-,-,-,-,-,-,-,s,-,-,-,u,-,-,a,-,-,-,-,-,-,-
nort2732,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,N,-,-,-,-
