language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
kach1280,-,-,-,-,-,-,-,-,-,-,l,-,-,-,u,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-
bodo1269,-,-,-,-,-,-,-,-,-,-,d,-,-,-,u,-,-,N,-,-,-,-,-,-,l,-,o,7,-,b
garo1247,-,-,-,-,-,-,-,-,-,-,d,-,-,-,i,-,-,N,-,-,-,-,-,-,-,-,a,-,-,-
rabh1238,-,-,-,-,-,-,-,-,-,-,t,-,-,-,u,-,-,N,b,u,r,a,s,a,r,-,a,-,-,-
bugu1246,-,-,-,-,-,-,-,-,-,-,l,-,-,-,u,-,-,N,-,-,-,-,-,-,-,-,a,-,-,-
naxi1245,-,-,t,-,s,-,-,-,-,-,h,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
shix1238,-,-,-,-,-,-,-,-,-,-,y,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ersu1241,-,-,t,-,s,h,a,-,t,s,h,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lisu1250,m,E,n,-,-,p,-,-,-,-,h,-,-,-,i,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-
sout2728,-,-,-,-,s,-,3,-,-,-,s,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nort2722,S,-,t,-,s,y,a,-,-,-,l,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
guiq1238,-,-,-,-,-,-,-,-,-,-,y,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
maru1249,-,-,-,-,-,-,-,-,-,-,N,-,-,y,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pela1242,-,-,-,-,-,-,-,-,-,-,l,-,-,-,a,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-
zhab1238,-,-,-,-,-,-,-,-,-,-,l,-,-,-,u,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-
lash1243,-,-,-,-,-,-,-,-,-,-,N,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nucl1310,-,-,-,-,-,-,-,-,-,-,n,-,-,w,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
acha1249,-,-,-,-,-,-,-,-,-,-,l,-,-,-,u,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-
nusu1239,-,-,-,-,-,-,-,-,-,-,l,-,-,-,o,-,-,n,-,-,-,-,-,-,y,-,E,r,-,-
nusu1239,-,-,-,-,-,-,-,-,-,-,l,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
youl1235,-,-,-,-,-,-,-,-,-,-,L,-,-,-,o,-,k,h,-,-,-,-,-,-,-,-,3,-,-,-
rawa1265,-,-,-,-,-,-,-,-,-,-,l,-,-,-,i,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,-,l,-,-,-,3,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-
khal1275,-,-,-,-,-,-,-,-,-,-,h,-,-,-,o,i,n,p,-,-,-,-,-,-,-,-,E,-,-,-
limb1266,-,-,-,-,-,-,-,-,-,-,m,-,-,-,o,-,k,m,-,-,-,-,-,-,-,-,a,7,-,-
sunw1242,-,-,-,-,-,-,-,-,-,-,h,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,i,S,-,-
lepc1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
dhim1246,-,-,-,-,-,-,-,-,-,-,b,-,-,-,o,-,-,b,-,o,-,-,-,-,k,-,a,-,-,-
amdo1237,-,-,t,-,s,-,-,-,-,-,y,-,-,-,o,-,-,x,-,-,-,-,-,-,-,-,3,-,-,-
amdo1237,-,-,t,-,s,-,-,-,-,-,y,-,-,-,o,-,m,b,-,-,-,-,-,-,-,-,o,-,-,-
tibe1272,-,-,t,-,-,-,-,-,-,-,y,-,-,-,o,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-
tibe1272,-,-,d,-,-,-,-,-,-,-,r,-,-,-,o,-,n,p,-,-,-,-,-,-,-,-,o,-,-,-
kham1282,-,-,t,-,s,-,-,-,-,-,y,-,-,-,o,-,-,b,-,-,-,-,-,-,-,-,o,-,-,-
jire1238,-,-,t,-,-,-,-,-,-,-,h,-,-,-,o,-,m,m,-,-,-,-,-,-,-,-,u,-,-,-
sher1255,-,-,t,-,s,-,-,-,-,-,h,-,-,-,a,-,n,d,-,-,-,-,-,-,-,-,i,-,-,-
kaik1246,-,-,m,-,-,-,-,-,-,-,h,-,-,-,u,-,m,m,-,-,-,-,-,-,-,-,o,-,-,-
dakp1242,-,-,-,-,-,-,-,-,-,-,g,-,-,-,o,-,m,b,-,-,-,-,-,-,-,-,o,-,-,-
guru1261,-,-,-,-,-,-,-,-,-,-,l,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-,a,-,-,-
thak1245,-,-,t,-,-,-,-,-,-,-,s,-,-,h,a,-,-,w,-,-,-,-,-,-,-,-,a,-,-,-
thak1245,-,-,-,-,-,-,-,-,-,-,l,-,-,h,a,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-
chep1245,-,-,b,-,-,-,-,-,-,-,l,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
nyis1236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-
tagi1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,g,-,-,-,-,-,-,-,-,u,-,-,-
bori1243,-,-,-,-,-,-,-,-,-,-,-,i,i,p,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
apat1240,-,-,-,-,-,-,-,-,-,-,g,u,-,b,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tara1313,-,-,-,-,-,-,-,-,-,-,l,-,-,-,3,-,-,N,-,-,-,-,-,-,N,-,u,-,-,-
idum1241,-,-,-,-,-,-,-,-,-,-,l,-,-,-,o,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-
quey1238,-,-,L,-,-,-,i,-,-,-,L,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
horp1239,x,-,t,-,-,-,-,-,-,-,s,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
loth1237,-,-,-,-,-,-,e,-,-,-,l,-,-,-,a,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-
lush1249,-,-,-,-,-,-,-,-,-,-,l,-,-,-,u,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-
hmar1241,-,-,-,-,-,-,-,-,-,-,l,-,-,-,u,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-
haka1240,-,-,-,-,-,-,-,-,-,-,l,-,-,-,u,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-
yinb1236,-,-,-,-,-,-,-,-,-,-,l,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
geko1235,-,-,k,-,-,y,3,3,7,-,l,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
paok1235,-,-,-,-,-,-,-,-,-,-,l,-,-,-,o,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-
manu1255,-,-,-,-,-,-,-,-,-,-,l,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yint1235,-,-,-,-,-,-,-,-,-,-,l,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
west2409,-,-,-,-,-,-,-,-,-,-,l,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
geba1237,-,-,7,3,k,y,o,-,k,-,y,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sgaw1245,-,-,k,-,-,y,o,-,-,-,l,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nort2732,-,-,-,-,-,-,-,-,-,-,l,-,-,-,o,-,-,x,-,-,-,-,-,-,-,-,o,x,u,i
