language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
sout2728,-,-,m,-,-,-,u,-,-,-,-,-,Z,-,-,-,y,-,-,-,o,-,-,-,-,-,-
nort2722,-,-,-,-,-,-,a,-,-,-,-,-,S,-,-,-,-,-,-,-,a,-,-,-,-,-,-
guiq1238,-,-,m,-,-,-,o,N,i,-,t,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-
maru1249,-,-,m,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,i,-,-,-,-,-,-
zhab1238,-,-,m,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,i,n,l,-,-,e,-
nucl1310,-,-,n,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,a,-,-,-,-,-,-
acha1249,-,-,n,-,-,-,i,-,-,-,t,-,y,-,-,-,-,-,-,-,o,-,t,-,-,-,-
nusu1239,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,u,-,-,-,o,-,r,-,-,-,-
nusu1239,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,o,-,k,-,-,3,-
youl1235,-,-,m,-,h,-,e,-,-,-,k,-,h,-,-,-,-,-,-,-,a,-,-,-,-,-,-
youl1235,-,-,m,-,h,-,e,-,-,-,k,-,h,-,-,-,-,-,-,-,a,-,-,-,-,-,-
rawa1265,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,a,-,d,-,-,i,N
drun1238,-,-,d,-,-,-,o,-,-,-,-,-,Z,-,-,-,-,-,-,-,a,-,d,-,-,3,-
ersu1241,-,-,n,-,-,-,-,-,-,-,k,-,h,-,-,-,u,-,-,-,a,-,r,-,-,-,-
pumi1242,-,-,S,-,-,-,i,-,E,-,t,S,h,-,-,-,-,-,-,-,u,-,-,-,-,-,-
pumi1242,-,-,-,-,-,-,-,-,-,-,t,s,y,-,-,-,i,-,-,-,E,-,-,-,-,-,-
shix1238,-,-,-,-,-,-,o,-,-,-,q,-,h,-,-,-,o,-,-,-,a,-,-,-,-,-,-
namu1246,-,-,x,-,-,-,i,-,-,-,q,-,h,-,-,-,-,-,-,-,o,-,-,-,-,-,-
lich1241,-,-,m,-,-,-,v,-,-,-,k,-,h,-,-,-,-,-,-,-,v,-,-,-,-,-,-
lich1241,-,-,m,-,-,-,v,-,-,-,k,-,h,-,-,-,-,-,-,-,v,-,-,-,-,-,-
naxi1245,-,-,m,-,-,-,v,-,-,-,k,-,h,-,-,-,-,-,-,-,v,-,-,-,-,-,-
naxi1245,-,-,m,-,-,-,v,-,-,-,k,-,h,-,-,-,-,-,-,-,v,-,-,-,-,-,-
khal1275,-,-,-,-,s,-,e,-,-,-,-,-,n,-,-,-,-,-,-,-,e,-,-,-,-,-,-
dumi1241,-,-,-,-,s,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
kulu1253,-,-,-,-,s,-,e,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,-,-
limb1266,-,-,-,-,s,-,E,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yamp1242,-,-,-,-,s,-,e,-,-,-,-,-,n,-,-,-,d,-,-,-,a,-,-,-,-,-,-
sunw1242,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,k,d,-,o,-
lepc1244,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,p,-,-,-,-
dhim1246,-,-,n,-,h,-,i,-,-,-,s,a,n,-,-,-,t,-,-,-,a,-,-,-,-,-,-
chep1245,-,-,i,-,-,-,a,-,-,-,7,-,d,-,-,-,-,-,-,-,i,-,N,-,-,-,-
chep1245,-,-,i,-,-,-,a,-,-,-,7,-,d,-,-,-,-,-,-,-,i,-,N,-,-,-,-
maga1261,-,-,n,-,-,-,a,-,-,-,m,-,b,-,-,-,-,-,-,-,i,-,k,-,-,-,-
