language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
kach1280,-,-,k,-,-,-,3,-,-,t,S,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,t
phom1236,-,-,l,-,-,-,o,-,N,t,h,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
bodo1269,-,-,k,-,-,-,a,-,n,-,s,-,-,-,-,-,-,-,-,-,r,-,-,-,i,-,-,-,-,7,-
dima1251,-,-,k,-,-,-,a,i,n,t,s,-,-,-,-,-,u,-,-,-,r,-,-,-,i,-,-,-,-,-,-
garo1247,-,-,y,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,N,-
sher1257,g,-,r,-,-,-,a,-,-,N,b,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
bugu1246,-,-,t,-,-,-,a,-,-,t,h,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
naxi1245,-,-,Z,-,-,y,i,-,d,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
shix1238,-,-,b,-,E,l,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
shix1238,-,-,b,-,E,l,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ersu1241,-,-,n,-,-,y,o,-,n,k,h,-,-,-,-,-,u,-,-,-,-,-,-,-,a,-,-,-,-,-,-
ersu1241,-,-,n,-,-,y,o,-,n,k,h,-,-,-,-,-,u,-,-,-,-,-,-,-,a,-,-,-,-,-,-
lisu1250,-,-,n,-,-,y,i,-,n,k,h,-,-,-,-,-,u,-,-,-,-,-,-,-,o,-,-,-,-,-,-
lisu1250,-,-,n,-,-,y,i,-,n,k,h,-,-,-,-,-,u,-,-,-,-,-,-,-,o,-,-,-,-,-,-
sout2728,-,-,-,-,-,Z,u,-,-,-,b,-,-,-,-,-,3,-,-,-,d,-,-,-,-,-,-,-,-,-,-
sout2728,-,-,-,-,-,Z,u,-,-,-,b,-,-,-,-,-,3,-,-,-,d,-,-,-,-,-,-,-,-,-,-
nort2722,-,-,q,-,h,s,a,-,-,-,b,-,-,-,-,-,u,-,-,-,l,-,-,-,u,-,-,-,-,-,-
nort2722,-,-,q,-,h,s,a,-,-,-,b,-,-,-,-,-,u,-,-,-,l,-,-,-,u,-,-,-,-,-,-
guiq1238,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,u,-,-,-,t,-,-,-,i,-,-,-,-,-,-
guiq1238,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,u,-,-,-,t,-,-,-,i,-,-,-,-,-,-
maru1249,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,o,-,7,-,t,-,o,-,i,-,-,-,-,-,-
pela1242,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,a,-,7,-,t,-,a,-,i,-,-,-,-,-,-
zhab1238,-,-,t,-,-,-,-,-,-,-,S,-,-,-,-,-,i,-,-,-,t,-,S,-,i,-,-,-,-,n,-
lash1243,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,u,-,7,-,t,-,-,-,i,-,-,-,-,-,-
nucl1310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,i,-,-,-,-,-,-
acha1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,a,-,-,-,-,-,-
nusu1239,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,a,-,-,-,d,-,i,-,a,-,-,-,-,-,-
nusu1239,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,o,-,-,-,t,s,a,p,a,-,-,-,-,-,-
youl1235,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,u,-,-,-,s,-,-,-,3,-,-,-,-,-,-
rawa1265,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,e,-,r,-,d,-,-,-,a,-,-,-,-,l,-
drun1238,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,3,-,-,-,d,-,-,-,a,-,-,-,-,l,-
khal1275,-,-,-,-,-,-,-,-,-,-,w,o,-,s,p,h,u,-,-,-,l,-,-,-,-,-,-,-,-,-,-
khal1275,-,-,-,-,-,-,-,-,-,-,w,o,-,s,p,h,u,-,-,-,l,-,-,-,-,-,-,-,-,-,-
kulu1253,-,-,-,-,-,n,a,-,m,-,p,u,t,s,-,h,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yamp1242,-,-,-,-,-,-,-,-,-,-,l,E,-,k,-,p,u,-,-,-,y,-,-,-,i,-,-,-,-,k,-
sunw1242,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,d,-,-,-,a,-,-,-,-,-,-
lepc1244,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dhim1246,-,-,-,-,-,-,-,-,-,-,p,e,-,s,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,m,-,b,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,m,-,b,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tibe1272,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tibe1272,-,-,-,-,-,-,-,-,a,-,b,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kham1282,-,-,-,-,-,-,-,-,m,-,b,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dakp1242,-,-,-,-,-,y,i,-,N,-,b,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-
guru1261,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,o,-,-,-,d,-,-,-,e,-,-,-,-,-,-
chep1245,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,u,r,7,-,d,-,-,-,a,l,-,-,-,7,-
kony1248,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,u,-,-,-,-,-,-,-,a,s,a,p,o,s,-
bori1243,-,-,t,-,-,-,a,-,-,-,t,-,-,-,-,-,o,-,-,-,r,-,-,-,-,-,-,-,-,-,-
