language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
sout2728,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,i,e,-,-,q,-,-,3,-,-,-,-
nort2722,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
guiq1238,-,k,u,e,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-
maru1249,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,a,-,-,-,N,-,-,-,-,-,-,-
pela1242,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,a,-,-,-,N,-,-,-,-,-,-,-
zhab1238,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,i,-,-,-,N,-,-,-,-,-,-,-
lash1243,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,3,-,-,-,N,-,-,-,-,-,-,-
nucl1310,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,a,-,-,-,n,-,-,y,-,-,-,-
acha1249,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,3,-,-,-,N,-,-,-,-,-,-,-
nusu1239,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,3,-,-,-,r,-,-,-,-,-,-,-
nusu1239,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
youl1235,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
rawa1265,-,-,-,-,-,-,-,n,-,-,-,-,-,y,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-
drun1238,-,-,-,-,-,-,-,n,-,-,-,-,-,y,-,-,-,-,-,3,-,-,-,l,-,-,-,-,-,-,-
ersu1241,-,l,-,E,-,-,-,-,-,-,-,-,-,Z,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
lisu1250,-,l,-,e,-,-,-,t,-,-,-,-,-,s,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
pumi1242,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,d,-,Z,-,a,-,-,-,-,-,-,-,-,-,-,-
pumi1242,-,-,-,-,-,-,-,-,-,-,-,-,-,Z,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-
shix1238,-,l,-,i,-,-,e,t,-,-,-,-,-,S,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-
namu1246,-,l,-,e,n,y,i,t,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lich1241,-,-,-,-,-,-,-,t,-,-,-,-,-,s,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
naxi1245,-,-,-,-,-,-,-,t,-,-,-,-,-,S,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
khal1275,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,e,-,-,-,n,d,-,i,-,-,-,-
dumi1241,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,i,-,e,-,-,-,n,d,-,i,-,-,-,-
kulu1253,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,e,-,-,-,n,-,-,-,-,-,-,-
limb1266,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,E,-,-,-,n,d,h,u,-,k,-,-
yamp1242,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,e,-,-,-,m,d,-,u,-,m,m,a
sunw1242,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
lepc1244,-,p,-,u,n,-,-,t,-,-,-,-,-,S,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
dhim1246,k,h,-,u,-,-,-,r,-,-,-,-,-,s,-,-,-,-,-,i,-,-,-,N,-,-,-,-,-,-,-
chep1245,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,3,-,-,-,n,7,-,-,-,-,-,-
maga1261,-,-,-,a,-,-,-,r,-,-,-,-,-,k,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-
kony1248,-,-,-,-,-,-,-,t,-,-,-,-,-,s,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,h,-,e,-,-,-,n,m,-,o,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,h,-,e,-,-,-,n,m,-,o,-,-,-,-
tibe1272,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,e,-,-,-,m,-,-,o,-,-,-,-
tibe1272,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,e,-,-,-,n,m,-,o,-,-,-,-
kham1282,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,h,-,e,-,-,-,m,-,-,o,-,-,-,-
jire1238,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,e,r,-,-,m,-,-,u,-,k,-,-
sher1255,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,e,r,-,-,m,-,-,u,-,-,-,-
kaik1246,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,o,r,-,-,m,-,-,i,-,-,-,-
dakp1242,-,-,-,-,-,-,-,t,-,-,-,-,-,s,-,-,-,h,-,i,N,-,-,n,-,-,a,-,N,-,-
nucl1729,-,-,-,-,-,-,-,t,-,-,-,-,-,s,-,-,-,h,-,i,-,-,-,n,-,-,-,-,-,-,-
thak1245,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-
guru1261,-,-,-,-,-,-,-,t,-,-,-,-,-,s,-,-,-,h,-,i,-,-,-,-,-,-,-,-,-,-,-
bang1338,-,l,-,e,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,i,-,-,-,N,-,-,-,-,-,-,-
tagi1241,-,l,-,a,-,-,-,k,-,-,-,-,-,s,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-
nyis1236,-,l,-,e,-,-,-,k,-,-,-,-,-,s,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-
nisi1238,-,l,-,3,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,i,-,-,-,N,-,-,-,-,-,-,-
pada1257,-,l,-,a,-,-,-,g,-,-,-,-,-,i,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-
bori1243,-,l,-,u,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,l,-,a,-,k,-,-
apat1240,-,l,-,3,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,i,-,-,-,N,-,-,-,-,-,-,-
tara1313,-,-,-,a,-,-,-,-,-,-,-,-,-,L,-,-,-,-,-,3,-,-,-,n,-,-,-,-,-,-,-
idum1241,-,-,-,a,-,-,-,-,-,-,-,-,-,h,-,u,N,k,-,o,-,-,-,N,-,-,-,-,-,-,-
quey1238,-,S,-,-,-,-,-,t,-,-,-,-,-,s,-,-,-,-,-,E,t,s,y,n,-,-,i,-,-,-,-
horp1239,-,-,-,-,-,-,-,l,-,-,-,-,-,Z,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
chon1286,-,-,-,-,-,-,-,t,-,e,m,e,-,Z,-,-,-,-,-,3,-,-,-,N,-,-,-,-,-,-,-
mong1332,-,-,-,-,-,-,-,t,-,3,m,e,t,s,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
loth1237,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,i,-,-,-,N,k,-,i,e,p,-,-
lush1249,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-
hmar1241,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-
haka1240,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-
tang1336,-,-,-,a,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-
mani1292,-,-,-,-,-,-,-,k,h,u,-,-,-,Z,-,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-
khez1235,-,b,-,a,-,-,-,t,-,-,-,-,-,s,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
zeme1240,-,p,-,e,n,-,-,t,-,-,-,-,-,s,-,-,-,h,-,i,-,-,-,n,-,-,-,-,-,-,-
kach1280,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,3,m,y,-,i,-,-,-,n,-,-,-,-,-,-,-
wanc1238,t,-,-,-,-,-,-,-,-,-,-,-,-,s,h,a,-,k,-,i,-,-,-,n,-,-,-,-,-,-,-
bodo1269,-,-,-,a,-,-,-,-,-,-,-,-,-,s,-,i,-,k,-,u,-,-,-,r,-,-,-,-,-,-,-
dima1251,-,y,-,a,-,-,-,o,-,-,-,-,-,s,-,u,-,g,-,u,-,-,-,r,-,-,-,-,-,-,-
garo1247,-,y,-,a,-,-,-,-,-,-,-,-,-,s,-,-,-,k,-,i,-,-,-,l,-,-,-,-,-,-,-
rabh1238,t,s,-,a,-,-,-,t,-,-,-,-,-,s,-,a,-,k,-,o,-,-,-,r,-,-,-,-,-,-,-
miji1239,-,g,-,i,-,-,-,t,-,-,-,-,-,h,-,-,-,-,-,3,-,-,-,n,-,-,-,-,-,-,-
sher1257,-,-,-,i,k,-,-,t,-,-,-,-,-,s,-,-,-,-,-,i,-,-,-,N,-,-,-,-,-,-,-
