language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
kach1280,-,-,-,-,-,-,k,-,-,3,-,-,-,t,-,S,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
noct1238,-,-,-,-,-,-,-,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,N,-,-,-
wanc1238,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
phom1236,-,Z,-,3,-,-,k,-,-,a,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
bodo1269,-,m,-,a,-,-,N,-,-,a,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-
bodo1269,-,m,-,a,-,-,N,-,-,a,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-
dima1251,-,-,-,-,-,-,k,-,h,a,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,b,-,a,-
rabh1238,-,m,-,3,-,-,l,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sher1257,-,-,-,-,-,-,-,-,-,a,-,-,-,t,-,s,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,d,u,-
bugu1246,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,u,N
naxi1245,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,s,-,-,-,-,-,-,y,-,-,i,-,-,-,-,-,-,-,-
namu1246,-,-,-,-,-,-,-,-,-,E,-,-,-,t,-,s,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
shix1238,-,-,-,-,-,-,-,-,-,e,-,-,-,t,-,s,-,i,-,t,-,-,s,-,-,i,-,-,-,-,-,-,-,-
ersu1241,-,-,-,-,-,-,m,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,m,-,-,a,-,-,-,-,r,-,-,-
lisu1250,-,-,-,-,-,-,y,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,i,-,-,-,-,-,-,-,-
sout2728,-,-,-,-,-,-,p,-,-,3,-,-,-,t,-,S,-,-,-,-,-,-,h,-,-,e,-,-,-,-,-,-,-,-
nort2722,-,-,-,-,-,-,X,-,-,-,-,-,-,t,-,S,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
guiq1238,-,-,-,-,-,-,N,E,N,E,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
maru1249,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,a,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
pela1242,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,a,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
zhab1238,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,7,-,-,-
lash1243,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-
nucl1310,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,a,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-
acha1249,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,y,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
nusu1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
nusu1239,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,y,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-
youl1235,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
rawa1265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,3,-,-,-,-,m,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,s,-,-,-,-,-,-,y,-,-,i,t,s,y,a,l,-,-,-
khal1275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,a,-,-,-,-,h,k,i,-
dumi1241,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,i,-,d,-,-,-,-,-,a,-,-,-,-,m,-,-,-
kulu1253,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,s,-,i,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-
limb1266,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,s,-,u,k,m,-,-,-,-,-,a,-,-,-,-,7,-,-,-
yamp1242,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,s,-,u,k,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-
sunw1242,-,-,-,-,-,-,-,-,-,i,-,-,m,t,-,s,-,i,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-
lepc1244,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dhim1246,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,h,u,i,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-
