language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
kamw1239,m,-,-,3,n,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
suku1272,m,-,-,a,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-,-,-,-
nyim1251,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,b,y,-,o,-,n,g,-,-,-,-
molo1266,-,-,-,-,-,k,-,-,-,-,w,-,-,-,-,-,-,a,-,l,-,a,-,-,y,-,-,-,-
wuzl1236,z,-,-,i,-,g,3,l,-,a,w,-,-,-,-,-,-,e,-,d,-,e,-,-,w,e,d,e,-
vame1236,Z,-,-,3,-,g,-,l,y,a,w,-,-,-,-,-,-,e,-,d,-,e,-,-,w,e,d,e,-
dugw1239,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,-,-,-,l,-,a,-,-,y,-,-,-,-
dugw1239,-,-,-,-,-,k,-,-,-,-,w,-,-,-,-,-,-,a,-,l,-,a,-,-,y,-,-,-,-
gemz1238,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,l,-,a,-,-,-,-,-,-,-
gemz1238,-,-,-,-,-,k,-,-,-,-,w,-,-,-,-,-,-,a,-,l,-,a,-,-,y,-,-,-,-
gemz1238,-,-,-,-,-,k,-,-,-,-,w,-,-,-,-,-,-,a,-,l,-,a,-,-,y,-,-,-,-
gemz1238,m,-,-,a,-,k,-,-,-,-,-,-,-,-,-,-,-,3,-,l,-,a,-,-,h,-,-,-,-
mbuk1243,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,l,-,a,-,-,y,-,-,-,-
nort3047,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,l,-,a,-,-,y,-,-,-,-
cuvo1236,d,-,-,a,r,g,-,-,-,-,-,-,-,-,-,-,-,a,-,L,-,a,v,a,y,-,-,-,-
buwa1243,-,-,-,-,-,k,-,-,-,-,w,-,-,-,-,-,-,o,-,l,-,o,-,-,y,-,-,-,-
gava1241,m,o,l,3,-,f,-,-,-,-,-,-,-,-,-,-,-,o,-,l,f,o,-,-,-,-,-,-,-
mbed1242,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,l,-,a,-,-,y,-,-,-,-
kanu1281,-,-,-,-,-,k,-,-,-,-,3,m,-,-,-,-,-,a,-,r,m,a,-,-,-,-,-,-,-
lagw1237,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,g,e,-,y,-,a,-,-,m,-,-,a,n
mser1242,-,-,-,-,-,z,-,-,-,-,u,w,e,r,w,a,g,a,-,l,-,a,-,-,-,-,-,-,-
afad1236,-,-,-,-,-,f,i,-,y,-,u,m,-,-,-,-,d,3,-,l,g,o,-,-,-,-,-,-,-
mpad1242,-,-,-,-,-,f,i,-,-,-,u,m,-,-,-,-,d,3,-,l,g,o,-,-,-,-,-,-,-
masl1241,-,-,-,-,-,f,i,-,y,-,u,m,-,-,-,-,d,3,-,-,g,o,-,-,-,-,-,-,-
chad1249,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,a,-,r,-,a,-,-,g,-,-,-,-
maje1243,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,a,g,a,-,l,-,a,-,-,-,-,-,-,-
bata1314,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,a,-,r,-,a,-,-,t,-,-,o,-
