language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
kamw1239,g,3,l,3,m,b,3,k,3,p,a,p,a,w,-,o,-,-,-
nyim1251,-,-,-,-,q,-,-,-,u,-,-,f,-,-,-,a,-,-,-
molo1266,-,-,-,-,-,-,-,-,-,-,o,l,o,k,-,o,-,-,-
wuzl1236,-,-,-,-,-,-,-,-,-,-,-,h,a,f,-,-,-,-,-
dugw1239,-,-,-,-,m,-,-,-,-,-,a,y,a,k,-,o,-,-,-
mere1246,-,-,-,-,m,-,-,-,-,-,a,y,a,k,w,a,-,-,-
gemz1238,-,-,-,-,m,-,-,-,-,-,a,y,a,k,w,a,-,-,-
mbuk1243,d,3,d,o,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nort3047,h,o,d,o,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cuvo1236,-,-,-,-,h,-,-,-,-,-,a,p,-,-,-,-,-,-,-
buwa1243,-,-,-,-,m,-,-,-,-,-,-,p,e,-,-,-,-,-,-
gava1241,-,-,-,-,m,-,-,-,-,-,-,p,i,-,-,-,-,-,-
mbed1242,-,-,-,-,m,-,-,-,-,-,-,p,a,y,-,-,-,-,-
mbar1260,-,-,l,u,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-
budu1265,-,-,-,-,-,-,-,-,-,-,-,w,a,-,-,-,n,a,y
lagw1237,-,-,-,-,-,-,-,-,-,-,-,w,a,h,-,a,n,-,-
mser1242,-,-,-,-,z,-,-,-,-,-,o,w,-,-,-,-,-,-,-
afad1236,-,-,-,-,-,-,-,-,-,-,-,w,a,h,-,3,n,-,-
mpad1242,-,-,-,-,-,-,-,-,-,-,-,w,a,h,-,3,n,-,-
malg1250,-,-,-,-,-,-,-,-,-,-,-,w,a,h,-,3,n,-,-
zina1234,-,-,-,-,k,-,-,-,-,-,-,w,a,f,t,a,r,-,i
maje1243,-,-,-,-,-,-,-,-,-,-,-,m,a,g,-,o,-,-,-
