language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
kamw1239,-,-,-,-,-,g,-,-,-,i,l,-,o,-
nyim1251,-,w,-,a,n,g,-,-,m,a,r,-,i,-
muya1243,-,m,-,i,-,l,-,-,m,i,l,-,i,-
wuzl1236,-,w,-,u,-,l,a,m,m,3,l,-,a,r
wuzl1236,-,w,-,u,-,l,a,m,m,3,l,-,a,r
vame1236,-,v,-,a,-,z,a,-,-,-,y,-,a,-
dugw1239,-,m,-,a,-,-,-,-,m,a,r,-,-,-
gemz1238,-,l,-,3,-,-,-,-,p,3,t,-,-,-
nort3047,-,h,-,i,-,n,-,-,p,a,s,-,-,-
cuvo1236,-,l,-,a,-,-,-,-,g,a,z,-,a,-
buwa1243,N,k,-,3,-,r,o,-,m,-,-,-,-,-
gava1241,N,k,-,-,-,r,3,-,m,-,-,-,-,-
mbed1242,-,k,-,u,-,r,u,-,m,-,-,-,-,-
mbar1260,-,k,-,i,-,-,-,-,w,i,r,-,i,-
kanu1281,-,b,-,-,-,-,-,-,-,-,-,-,e,-
lagw1237,-,k,-,u,-,l,-,-,-,e,s,-,3,-
afad1236,-,g,-,3,-,l,-,-,-,-,-,-,3,m
mpad1242,-,g,-,u,-,l,-,-,g,u,s,-,3,-
malg1250,-,g,b,3,-,l,-,-,-,i,s,-,3,-
marg1266,-,h,-,-,-,y,a,-,p,u,T,-,i,-
gaan1243,-,w,-,a,-,n,-,-,f,a,r,t,a,-
