language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
kamw1239,-,-,k,-,-,-,w,o,-,d,o,t,a,-,-,-,k,a,-,s,-,-,-,e,-
nyim1251,-,-,q,-,-,-,-,u,-,r,-,-,a,-,-,-,k,-,-,h,-,-,-,a,r
muya1243,-,-,w,-,-,-,-,e,-,L,e,w,e,-,-,-,-,-,-,L,-,-,-,o,-
vame1236,-,-,-,-,-,-,-,a,-,L,-,-,a,-,-,-,-,-,-,L,-,-,-,a,-
dugw1239,-,-,b,-,-,-,-,3,-,z,-,-,3,-,-,-,l,i,y,h,-,-,-,a,y
mere1246,-,-,v,-,-,-,-,3,-,r,-,-,3,-,-,-,L,i,-,h,3,-,l,a,y
gemz1238,-,-,d,-,-,-,-,a,-,s,-,-,a,-,-,-,-,a,-,h,3,-,r,-,-
mbuk1243,-,-,v,-,-,-,-,3,-,r,-,-,e,-,-,-,L,-,-,-,-,-,-,-,-
nort3047,-,-,g,-,r,a,m,a,-,g,-,-,a,-,-,-,-,-,-,m,-,-,-,a,k
cuvo1236,m,e,v,-,-,-,-,e,-,z,-,t,a,-,-,-,-,-,-,h,-,-,-,a,-
buwa1243,-,-,-,-,-,-,-,-,-,l,-,-,o,d,z,-,-,3,-,v,-,-,r,o,-
gava1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,i,-,h,e,L,r,o,-
mbed1242,-,-,t,-,-,-,-,3,-,r,-,-,3,-,b,n,d,3,-,-,-,-,r,a,-
lagw1237,-,-,g,u,l,-,i,e,-,L,-,-,a,-,-,-,-,-,-,d,-,-,-,3,-
mser1242,-,-,-,-,d,-,-,a,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,o,-
afad1236,-,-,g,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,L,-,-,-,e,-
mpad1242,-,-,g,-,-,-,-,e,-,y,-,-,-,-,-,-,-,-,-,S,-,-,-,e,-
malg1250,-,-,w,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,L,-,-,-,e,-
masl1241,-,-,g,-,-,-,-,o,l,s,-,-,-,-,-,-,-,-,-,l,-,-,-,e,-
