language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
kamw1239,-,-,-,-,k,u,-,-,n,t,l,-,-,-,o,-
suku1272,-,-,-,-,k,u,-,-,-,-,r,-,-,-,a,L
nyim1251,-,-,-,-,Z,u,-,-,-,-,-,-,-,-,-,m
molo1266,-,-,-,-,z,3,-,-,n,-,z,-,-,-,e,n
muya1243,-,-,-,-,l,3,-,-,-,-,v,-,-,-,3,N
wuzl1236,-,-,-,-,l,a,-,-,-,-,m,-,-,-,a,y
dugw1239,-,-,-,-,r,e,z,e,N,-,z,-,-,-,e,N
gemz1238,-,-,-,-,l,u,-,-,-,-,v,-,-,-,o,N
mbuk1243,t,a,k,3,d,i,-,-,m,-,b,-,-,-,o,m
nort3047,-,-,-,-,l,u,-,-,-,-,v,-,-,-,o,N
cuvo1236,-,-,-,-,l,3,-,-,-,-,v,-,-,-,a,N
buwa1243,-,-,-,-,k,u,-,-,-,-,L,-,-,-,e,-
gava1241,-,-,-,-,l,3,-,-,-,-,v,-,-,-,o,N
mbed1242,-,-,-,-,l,3,-,-,-,-,v,-,-,-,a,N
lagw1237,-,-,-,-,g,u,-,-,r,-,v,a,k,7,e,-
mser1242,-,-,-,-,t,u,-,-,t,-,-,u,-,s,3,n
afad1236,-,-,-,-,d,3,-,-,l,-,b,-,-,-,3,n
mpad1242,-,-,-,-,d,3,-,-,l,-,b,-,-,-,3,n
mpad1242,-,-,g,u,d,3,-,-,-,-,m,-,-,s,3,n
malg1250,-,-,-,-,d,3,-,-,l,-,b,-,-,-,a,n
bata1314,-,-,k,u,l,i,-,-,-,-,t,-,-,-,o,-
