language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
kamw1239,-,-,-,-,-,m,a,m,a,-,S,i,k,3,-
nyim1251,-,-,-,d,u,m,-,-,a,-,r,-,-,i,-
muya1243,-,-,-,-,-,m,-,-,i,-,l,e,d,3,-
muya1243,-,-,-,-,-,m,-,-,i,-,l,e,d,3,-
wuzl1236,-,-,-,-,i,w,-,-,3,-,r,-,-,a,-
wuzl1236,-,-,-,-,-,w,-,-,u,-,r,-,-,a,-
vame1236,-,-,-,-,-,w,-,-,u,-,r,-,-,a,-
dugw1239,-,-,-,m,-,-,-,-,e,-,d,-,-,e,w
mere1246,-,-,-,m,e,k,-,-,e,-,d,-,-,e,w
gemz1238,-,-,-,m,a,k,-,-,o,-,d,-,-,e,-
mbuk1243,-,-,-,-,-,d,-,-,u,w,d,-,-,e,w
nort3047,-,-,-,p,i,p,-,-,i,-,r,-,-,e,k
cuvo1236,-,-,-,t,e,p,-,-,3,-,r,-,-,e,k
buwa1243,-,-,-,m,o,p,-,-,o,-,t,-,-,-,-
gava1241,-,-,-,k,-,w,-,-,o,-,f,-,-,-,-
mbed1242,-,-,-,k,a,f,-,-,a,-,-,-,-,-,-
mofu1248,-,-,-,-,-,p,-,-,3,-,r,-,-,e,k
budu1265,-,-,-,k,-,w,-,-,a,-,d,-,-,3,-
kanu1281,-,-,-,s,u,w,-,-,-,-,-,-,-,a,-
mser1242,p,a,-,-,-,-,-,-,y,-,-,-,-,a,r
afad1236,-,a,s,k,-,-,-,-,i,-,s,-,-,u,-
mpad1242,-,a,s,k,-,-,-,-,i,-,s,-,-,u,-
malg1250,-,a,-,k,-,-,-,-,i,-,-,-,-,w,-
marg1266,-,-,-,-,-,m,-,-,u,-,L,-,h,a,u
marg1266,-,-,-,-,-,m,-,-,u,-,L,-,-,a,u
bata1314,-,-,-,-,-,w,-,-,u,-,r,-,-,e,-
