language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
kamw1239,-,-,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,k,w,a,d,i
nyim1251,-,-,-,k,-,-,o,-,t,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-
molo1266,-,-,-,-,-,-,-,-,t,-,-,a,-,-,p,3,r,-,a,-,-,-,-,-,-,k,-,a,m,-
muya1243,-,-,-,-,-,-,-,-,t,-,-,o,-,-,p,-,d,-,o,-,-,-,-,-,-,k,-,o,m,-
wuzl1236,-,-,-,-,-,-,-,-,d,-,-,3,-,-,-,-,N,k,u,-,-,-,-,-,-,k,-,u,l,-
vame1236,-,-,-,-,-,-,-,-,k,-,-,-,-,-,w,-,-,-,a,-,-,-,-,-,-,k,-,u,l,a
dugw1239,-,-,-,-,-,-,-,-,t,-,-,a,-,-,p,-,r,-,a,k,o,m,y,s,e,k,-,-,-,-
mere1246,-,-,-,-,-,-,-,-,t,-,-,3,r,-,p,-,-,-,a,-,-,-,-,-,-,k,-,-,-,-
gemz1238,-,-,-,-,-,-,-,-,t,-,-,3,r,-,p,-,-,-,a,-,-,-,-,-,-,k,-,-,-,-
mbuk1243,-,-,-,m,-,-,3,-,t,u,k,-,-,-,w,i,y,-,e,-,-,-,-,-,-,k,-,-,-,-
mbuk1243,-,-,-,-,-,-,-,-,t,3,k,3,r,a,b,-,-,-,a,-,-,-,-,-,-,k,-,-,-,-
nort3047,-,-,-,k,-,-,o,-,t,-,k,o,z,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-
cuvo1236,-,-,-,m,-,-,a,n,d,-,-,a,r,k,w,-,-,-,a,-,-,-,-,-,-,k,w,a,L,-
buwa1243,-,-,-,p,-,-,o,-,t,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,w,o,r,-
gava1241,t,o,k,w,o,d,o,-,t,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,w,o,d,o
mbed1242,-,-,-,p,-,-,o,-,t,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,o,r,-
kanu1281,-,-,-,-,-,-,-,-,k,-,-,o,l,-,-,-,-,-,o,-,-,-,-,-,-,r,-,a,m,-
mser1242,n,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,a,b,e
mpad1242,-,-,-,-,-,-,-,-,k,-,-,o,r,-,-,-,-,-,-,-,-,-,-,-,-,l,-,o,m,-
malg1250,n,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,3,n,-
chad1249,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,f,-
fula1264,-,-,-,-,-,-,-,-,k,-,-,o,l,-,-,-,-,-,o,-,-,N,-,-,-,g,-,i,-,-
