language,x1,x2,x3,x4,x5,x6,x7,x8
psik1239,-,m,3,g,a,-,-,-
suku1272,-,x,i,d,i,-,-,-
lama1288,-,m,-,g,a,m,-,-
lama1288,a,m,-,g,a,m,-,-
molo1266,-,b,a,h,a,y,-,-
wuzl1236,-,-,-,-,-,z,i,k
vame1236,-,b,-,-,a,y,-,-
gemz1238,-,b,-,-,a,y,-,-
gemz1238,-,b,-,-,a,y,-,-
mbuk1243,-,b,a,h,a,y,-,-
mbuk1243,-,b,-,-,a,-,-,-
buwa1243,-,b,-,-,o,y,-,-
mofu1248,-,b,-,-,a,y,-,-
mbar1260,-,m,-,b,a,N,a,-
mbar1260,-,m,-,-,i,l,i,-
mpad1242,-,m,-,-,a,y,i,-
marg1265,p,t,-,-,3,l,-,-
marg1266,-,t,-,-,3,l,-,-
kilb1234,-,t,-,-,3,l,-,-
bata1314,-,h,3,m,e,-,-,-
