language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
kamw1239,-,-,-,g,-,a,-,-,-,-,L,-,-,3,-,n,o
molo1266,-,-,-,L,-,a,-,-,-,-,w,-,-,-,-,-,-
molo1266,-,-,-,g,-,3,-,-,-,-,b,-,-,a,-,r,-
muya1243,-,o,N,g,-,-,-,-,-,-,w,-,-,o,-,z,-
muya1243,m,e,n,y,-,e,-,-,-,-,b,n,y,e,-,b,-
wuzl1236,m,-,-,b,-,3,m,-,-,-,b,-,-,3,-,r,-
wuzl1236,-,-,-,g,-,a,-,-,-,-,L,-,-,a,-,k,-
mbuk1243,-,a,-,y,-,3,-,-,-,-,y,-,-,a,-,r,-
mbuk1243,-,-,-,y,-,3,-,-,-,-,y,-,-,a,-,r,-
mbuk1243,-,-,-,L,-,a,-,-,-,-,w,-,-,a,-,n,-
cuvo1236,-,-,-,z,-,i,-,-,-,-,d,-,-,a,-,w,-
buwa1243,N,-,-,g,-,3,-,-,-,-,L,-,-,e,-,N,-
buwa1243,l,-,-,-,-,o,-,-,-,-,l,-,-,o,-,k,-
mser1242,-,-,-,m,-,a,-,g,r,i,g,-,-,-,-,r,i
mpad1242,-,-,-,k,-,a,n,g,-,-,w,-,-,a,-,d,e
malg1250,s,-,-,k,-,3,n,-,-,-,-,-,-,-,-,-,-
bata1314,-,-,-,k,-,a,-,-,-,-,l,-,-,a,-,-,-
bata1314,-,-,-,w,-,-,-,-,-,-,-,-,-,e,-,-,-
gaan1243,-,-,-,k,w,a,-,-,-,-,r,-,-,a,n,d,a
