language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
kamw1239,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,y,-,-,a,-,-,-
suku1272,d,3,-,-,g,-,-,-,-,-,-,-,-,-,-,3,l,-,-,-,-,-,-
lama1288,d,3,-,-,g,-,a,-,-,-,-,-,g,-,-,3,r,-,-,i,-,-,-
nyim1251,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,S,-,-,a,n,g,-
molo1266,b,a,-,-,y,-,-,-,-,-,b,-,-,-,-,o,y,-,-,o,-,-,-
molo1266,m,a,n,-,d,-,3,r,k,o,b,-,k,-,-,o,b,-,-,o,-,-,-
muya1243,b,o,y,-,g,-,o,-,-,-,m,-,d,-,-,o,z,-,-,u,-,-,-
muya1243,-,-,-,-,g,-,e,-,-,-,m,s,l,-,-,e,l,-,-,i,-,k,-
wuzl1236,-,-,-,-,g,-,3,-,-,-,-,-,L,-,-,3,l,-,-,a,-,h,-
wuzl1236,m,3,-,-,g,-,3,-,-,-,-,-,L,-,-,e,l,-,-,3,-,b,a
vame1236,m,3,-,-,g,-,3,-,-,-,-,-,L,-,-,3,l,-,b,a,-,-,-
vame1236,-,-,-,-,k,-,u,-,-,-,-,-,r,-,k,u,r,-,-,a,-,k,-
dugw1239,m,-,-,-,-,-,e,-,-,-,-,-,L,-,-,e,d,-,-,e,-,k,-
mere1246,h,-,-,-,-,-,e,-,-,-,-,-,L,-,-,e,d,-,-,e,-,k,-
gemz1238,m,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,d,a,v,a,-,l,-
mbuk1243,-,-,-,-,k,-,3,-,-,-,-,-,t,i,k,e,r,-,-,-,-,-,-
mbuk1243,b,a,l,i,g,w,a,-,-,-,n,-,d,-,-,a,z,-,-,a,-,-,-
mbuk1243,-,-,-,-,z,-,u,-,-,-,-,-,w,-,-,e,l,-,-,-,-,-,-
mbuk1243,m,3,n,-,g,-,3,-,-,-,-,-,l,3,k,a,T,-,-,a,-,k,-
mbuk1243,m,3,-,-,k,-,3,-,-,-,-,-,r,-,k,i,d,-,-,e,-,k,-
nort3047,m,o,-,-,k,-,o,-,-,-,-,-,k,-,-,o,l,-,-,-,-,-,-
cuvo1236,m,a,-,-,g,w,a,-,-,-,-,-,z,-,-,a,y,-,-,a,-,N,-
buwa1243,h,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,L,-,-,o,-,k,-
gava1241,h,-,-,-,-,-,3,-,-,-,-,-,r,-,-,-,L,-,-,3,-,k,-
mbed1242,h,-,-,-,-,-,3,-,-,-,-,-,r,-,-,-,L,-,-,3,-,k,-
lagw1237,m,a,-,-,g,-,-,-,-,-,-,-,-,-,-,-,r,-,-,a,-,n,-
mser1242,m,a,-,-,g,-,3,-,-,-,-,-,-,-,-,-,r,-,-,a,-,m,-
mpad1242,m,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,e,-,-,-
malg1250,m,a,-,-,b,-,3,-,-,-,-,-,-,-,-,-,r,-,-,a,-,-,-
maje1243,m,a,t,-,S,-,e,-,-,-,-,-,-,-,-,-,r,-,-,a,-,-,-
marg1266,t,a,-,-,w,-,u,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-
bata1314,b,-,-,-,w,-,a,-,-,-,-,-,l,-,-,a,t,-,-,o,-,-,-
gaan1243,b,a,-,-,w,-,a,-,-,-,-,-,-,-,-,-,t,-,-,a,-,-,-
