language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
dugw1239,-,-,k,u,r,o,w,g,a,r,b,-,e,b,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-
mere1246,-,-,k,u,r,o,-,g,3,r,-,-,e,y,e,-,-,n,-,-,-,-,-,-,-,-,3,-,-,t,-,-,-,e,-,-,-,-
nort3047,-,-,k,u,r,u,-,-,-,-,-,-,-,m,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,3,d,k,a,-
cuvo1236,-,-,k,u,r,a,w,d,a,-,p,-,3,y,a,N,a,n,-,-,-,-,-,-,-,-,a,a,m,t,-,-,-,a,-,-,-,-
buwa1243,-,-,w,-,-,o,-,-,-,-,m,-,-,-,o,h,o,-,-,-,-,-,-,-,-,-,-,-,-,t,e,N,g,u,l,-,e,N
gava1241,-,-,w,-,-,o,-,-,-,-,m,-,-,-,o,h,o,N,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,o,d,-,-,-
mbed1242,-,-,w,-,-,o,-,-,-,-,m,m,e,d,e,k,-,n,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,a,d,-,-,-
lagw1237,x,-,k,-,-,a,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,k,-,a,-,-,t,-,-,-,3,-,k,u,-
mser1242,-,-,k,-,-,a,-,-,-,-,-,-,-,-,-,-,-,n,d,3,n,s,7,3,g,-,3,-,-,d,-,-,-,i,-,-,-,-
afad1236,-,-,k,-,-,a,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,g,-,o,-,-,t,-,-,-,e,-,-,-,-
mpad1242,-,-,k,-,-,a,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,g,-,o,-,-,t,-,-,-,e,-,-,-,-
malg1250,-,-,k,-,-,a,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,g,a,a,-,-,t,-,-,-,e,-,-,-,-
budu1265,h,3,k,-,-,a,-,-,-,-,-,-,-,-,-,-,-,n,y,-,-,-,-,u,k,-,3,-,-,t,-,-,-,e,-,-,-,-
chad1249,-,i,h,-,d,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,-,a,r,-,-,-
