language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
vame1236,-,-,-,m,a,n,d,a,r,-,-,-
dugw1239,-,-,-,m,a,h,v,a,d,-,-,-
mere1246,-,-,-,m,u,y,g,o,-,-,-,-
nort3047,-,-,-,-,-,-,d,3,d,3,k,-
cuvo1236,-,-,-,d,a,p,-,a,d,a,r,-
buwa1243,-,-,-,n,-,-,-,-,d,o,N,w
gava1241,k,w,o,m,-,-,-,o,d,-,-,-
mbed1242,-,-,a,n,-,-,-,-,d,o,N,-
kamw1239,-,-,-,t,3,k,-,a,-,-,-,-
lagw1237,-,-,-,m,-,-,p,a,s,e,-,-
mser1242,-,-,-,n,-,-,-,-,g,u,n,-
mpad1242,-,-,-,-,-,-,l,a,t,3,n,-
malg1250,-,-,-,-,-,-,d,a,r,a,-,-
marg1265,-,-,-,-,-,-,p,u,y,i,-,-
