language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
molo1266,-,-,-,T,-,-,o,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,y,-,-,-,-,-
muya1243,-,-,-,T,-,-,o,-,k,-,w,-,-,-,-,-,-,-,-,o,-,-,-,y,-,-,-,-,-
dugw1239,m,3,-,T,-,-,e,-,k,-,w,-,-,-,-,-,-,-,-,e,y,n,a,z,-,-,a,n,a
mere1246,-,-,-,t,-,s,3,-,k,-,w,p,e,-,-,t,e,k,-,e,-,-,-,d,-,-,-,-,-
nort3047,-,-,-,T,-,-,u,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,z,-,-,a,n,a
mbuk1243,-,-,-,T,3,l,o,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cuvo1236,-,-,-,T,-,-,a,-,k,-,w,-,-,-,-,r,3,k,w,a,-,-,-,t,-,-,-,-,-
cuvo1236,-,-,-,T,-,-,o,-,k,-,-,-,-,-,-,-,-,-,-,o,-,-,-,n,-,-,-,-,-
buwa1243,-,-,-,T,-,-,o,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-
gava1241,-,-,-,s,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-
mbed1242,k,3,t,S,-,-,o,-,k,-,-,-,-,-,-,r,3,k,-,u,-,-,-,t,-,-,-,-,-
kamw1239,-,-,-,s,-,-,i,-,-,-,-,-,-,-,-,d,i,t,-,3,-,-,-,-,-,-,-,-,-
lagw1237,-,-,-,d,-,-,3,-,-,-,v,-,-,-,-,-,-,-,-,e,-,-,-,l,m,b,i,y,a
mser1242,-,-,-,l,-,-,a,-,-,-,s,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
afad1236,-,-,-,s,-,-,o,s,7,e,b,-,a,-,-,l,-,-,-,e,-,-,-,-,-,-,-,-,-
mpad1242,-,-,-,s,-,-,o,-,g,-,w,-,a,n,e,s,-,7,-,e,-,-,-,-,-,-,-,-,-
malg1250,-,-,-,-,-,-,-,-,g,i,w,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
