language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
kamw1239,-,-,-,-,-,-,-,-,-,-,p,a,-,-,l,-,-,-,-,3,-,-,p,-,-,-,-,-,-,-,-,a,-
suku1272,-,-,-,m,u,-,-,L,3,-,p,3,-,-,r,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,3,r
nyim1251,-,-,-,-,-,-,-,-,-,-,p,u,-,-,r,-,-,-,m,a,-,-,p,-,-,-,-,-,-,-,-,u,r
molo1266,-,-,-,m,-,-,-,-,e,-,p,e,-,-,t,-,-,-,-,3,-,-,p,-,-,-,-,e,-,t,-,e,-
muya1243,-,-,-,-,-,-,-,-,-,-,p,o,-,-,t,-,-,-,-,-,-,-,p,-,-,-,-,o,-,t,-,o,y
wuzl1236,-,-,-,-,-,-,-,-,-,-,p,a,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,a,y
vame1236,-,-,-,-,-,-,-,-,-,-,p,e,-,-,l,-,-,-,-,-,-,-,p,-,-,-,-,e,-,l,-,e,-
dugw1239,-,-,-,w,u,-,-,T,3,k,-,e,N,-,g,-,-,-,-,3,-,-,m,-,-,-,-,-,-,-,-,a,-
mere1246,-,-,-,m,a,n,d,z,e,k,w,e,r,i,d,-,-,-,-,3,-,-,v,-,-,-,-,-,-,-,-,a,r
gemz1238,-,-,-,m,a,-,-,k,a,-,p,a,-,-,k,-,-,-,-,a,-,-,p,-,-,-,-,-,-,-,-,a,-
mbuk1243,-,-,-,m,-,-,-,-,3,-,p,e,-,-,t,-,-,-,-,-,-,-,p,-,-,-,-,e,-,t,-,e,-
nort3047,-,-,-,m,-,-,-,-,u,-,p,-,-,-,l,-,-,-,-,a,-,-,p,-,-,-,-,-,-,l,-,a,-
cuvo1236,-,-,-,m,e,-,-,L,3,-,p,e,-,-,L,-,-,-,-,3,-,-,p,-,-,-,-,-,-,-,-,e,-
buwa1243,-,-,-,-,-,-,-,-,-,-,p,3,-,-,d,o,k,-,t,o,-,-,w,-,-,-,-,o,-,y,-,-,-
gava1241,-,-,-,-,-,-,-,-,-,-,p,o,-,-,d,o,k,o,t,o,-,-,w,-,-,-,-,o,-,y,-,-,-
mbed1242,-,-,-,m,-,-,-,-,3,-,p,u,-,-,l,-,-,-,-,-,-,-,p,-,-,-,-,u,-,l,-,a,-
kanu1281,-,-,-,-,-,-,-,-,-,-,m,a,-,-,l,-,-,-,-,3,m,-,f,a,t,a,f,a,-,t,-,a,-
mser1242,l,i,k,7,u,-,-,-,-,-,r,a,-,-,r,-,-,-,-,a,-,-,m,-,-,-,-,a,-,l,w,a,-
afad1236,-,a,-,b,u,-,-,-,-,-,m,a,-,-,l,-,-,-,-,3,m,-,m,-,-,-,-,a,-,l,-,3,m
mpad1242,-,-,-,-,-,-,-,-,-,-,m,a,-,-,l,-,-,-,-,3,m,-,m,-,-,-,-,a,-,l,-,3,m
malg1250,-,-,-,-,-,-,-,-,-,-,m,a,-,-,l,-,-,-,-,3,m,e,m,-,b,a,b,a,n,y,-,e,-
chad1249,-,a,-,b,u,-,-,-,-,-,n,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,a,-,g,-,i,g
marg1266,-,-,-,-,-,-,-,-,-,-,p,a,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,k,-,a,-
bata1314,-,-,-,-,-,-,-,-,-,-,l,a,-,-,-,-,-,-,-,-,-,-,k,-,l,-,-,a,-,k,-,e,-
