language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
kamw1239,-,-,t,a,r,i,k,-,-,-,-,-,w,a,v,i,n,d,z,e,g,w,i,-,-,-,-,-
psik1239,-,-,-,-,-,-,k,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
suku1272,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,m,-,-,-,-
nyim1251,-,-,Z,a,-,-,k,-,-,-,-,-,h,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-
molo1266,-,-,-,o,-,-,k,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,o,m,-,-,-,-
muya1243,-,-,-,o,-,-,k,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,u,m,-,-,-,-
muya1243,m,o,y,o,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
muya1243,-,-,-,o,-,-,k,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,u,m,-,-,-,-
wuzl1236,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,m,-,-,-,-
vame1236,-,-,-,-,-,-,k,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,m,-,-,-,-
dugw1239,-,-,-,-,-,-,k,-,-,-,o,-,h,-,-,-,-,-,-,-,-,-,o,m,-,-,-,-
mere1246,-,-,-,-,-,-,k,-,-,-,u,-,h,-,-,-,-,-,-,-,-,-,u,m,-,-,-,-
mere1246,-,-,-,-,-,-,k,-,-,-,u,-,h,-,-,-,-,-,-,-,-,-,u,m,-,-,-,-
gemz1238,-,-,-,-,-,-,k,-,-,-,o,-,h,-,-,-,-,-,-,-,-,-,o,m,-,-,-,-
mbuk1243,-,-,-,-,-,-,k,-,-,-,u,-,h,-,-,-,-,-,-,-,-,-,o,m,-,-,-,-
nort3047,-,-,-,-,-,-,k,-,o,t,o,-,k,-,-,-,-,-,-,-,-,-,o,m,-,-,-,-
cuvo1236,-,-,-,a,N,-,k,-,-,-,a,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
buwa1243,-,-,-,-,-,-,-,m,o,L,o,-,h,-,-,-,-,-,-,-,-,-,o,y,-,-,-,-
gava1241,-,-,-,-,-,-,k,w,o,L,i,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
gava1241,-,-,-,-,-,-,-,m,o,L,o,-,h,-,-,-,-,-,-,-,-,-,o,y,-,-,-,-
mbed1242,-,-,-,-,-,-,-,m,a,L,a,-,h,-,-,-,-,-,-,-,-,-,a,y,-,-,-,-
mofu1248,-,-,-,-,-,-,-,-,-,-,a,-,h,-,w,-,-,-,-,-,-,-,a,m,-,-,-,-
mbar1260,-,-,-,-,-,-,k,-,-,-,u,-,s,-,-,-,-,-,-,-,-,-,u,m,-,-,-,-
kanu1281,-,-,-,-,-,-,y,-,-,-,i,-,l,-,w,-,-,-,-,-,-,-,a,-,-,-,-,-
lagw1237,-,-,-,-,-,-,x,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,u,m,-,-,-,i
mser1242,-,-,-,-,-,-,k,-,-,-,u,-,s,-,-,-,-,-,-,-,-,-,u,m,-,-,-,-
afad1236,-,-,-,m,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,m,-,-,-,-
mpad1242,-,-,-,-,-,-,k,-,-,-,u,-,s,-,-,-,-,-,-,-,-,-,u,m,-,-,-,u
malg1250,-,-,-,-,-,-,g,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,i,m,-,-,-,-
masl1241,-,-,-,-,-,-,b,-,-,-,3,-,s,-,-,-,-,-,-,-,-,-,3,m,-,-,-,-
chad1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,m,s,i,s,i
zina1234,-,-,-,a,-,-,k,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,u,m,-,-,-,-
maje1243,-,-,-,-,-,-,k,-,-,-,u,-,s,-,-,-,-,-,-,-,-,-,3,m,-,-,-,e
mafa1239,-,-,-,n,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,n,-,-,-,a
haus1257,-,-,-,-,-,-,k,-,-,-,u,u,s,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
